I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
@_,BKG.L,The Berkeley Group Holdings plc,Consumer Cyclical,Residential Construction,1.33,3672.00 - 3802.00,3758.00 - 3852.00,86.00 - 180.00,3794.00,198.00,399662,4,1.154,3
*_,BKS.L,Beeks Financial Cloud Group plc,Technology,Software Infrastructure,1.33,213.26 - 220.25,218.75 - 227.00,5.49 - 13.74,218.25,399.43,156534,3,0.054,3
@_,BKY.L,Berkeley Energia Limited,Energy,Uranium,3.00,24.20 - 25.00,25.60 - 25.76,1.40 - 1.56,25.40,441.36,175889,3,1.735,2
*_,BLND.L,British Land Company PLC,Real Estate,REIT Diversified,0.00,351.80 - 351.80,357.00 - 357.00,5.20 - 5.20,343.92,72.80,2106864,6,1.403,1
@_,BLOE.L,Block Energy Plc,Energy,Oil & Gas E&P,0.00,0.83 - 0.86,0.88 - 0.89,0.04 - 0.06,0.88,885.53,502634,5,0.134,4
@_,BLU.L,Blue Star Capital plc,Financial Services,Asset Management,0.20,15.16 - 16.26,17.24 - 17.40,2.08 - 2.24,16.50,2187.32,283909,4,2.16,5
@_,BME.L,B&M European Value Retail S.A.,Consumer Defensive,Discount Stores,0.50,221.50 - 223.30,223.90 - 228.00,2.40 - 6.50,224.60,272.14,4408100,6,0.899,4
@_,BMK.L,Benchmark Holdings plc,Consumer Defensive,Packaged Foods,0.11,17.22 - 19.75,20.00 - 22.50,2.78 - 5.28,22.05,3988.62,116208,3,0.298,9
@_,BMS.L,Braemar Plc,Industrials,Marine Shipping,0.67,253.08 - 255.75,257.52 - 259.00,4.44 - 5.92,255.00,437.00,58623,3,0.83,6
*_,BMV.L,Bluebird Mining Ventures Ltd,Basic Materials,Gold,0.86,1.05 - 1.31,1.14 - 1.40,0.09 - 0.35,1.30,2671.16,10363122,8,1.682,7
*_,BMY.L,Bloomsbury Publishing Plc,Communication Services,Publishing,1.00,472.04 - 485.00,478.00 - 494.00,5.96 - 21.96,473.50,149.60,207776,4,0.51,2
@_,BNC.L,Banco Santander  S.A.,Financial Services,Banks Diversified,0.14,662.00 - 700.13,672.00 - 716.00,10.00 - 54.00,711.00,513.45,1443219,6,1.297,7
@_,BNKR.L,Bankers Ord,Financial Services,Asset Management,3.50,122.20 - 122.20,123.47 - 124.29,1.27 - 2.09,123.65,134.40,1270735,6,UNKNOWN,2
@_,BNZL.L,Bunzl plc,Consumer Defensive,Food Distribution,1.00,2242.00 - 2252.00,2276.00 - 2296.00,34.00 - 54.00,2286.00,156.00,810694,5,0.287,2
*_,BOD.L,Botswana Diamonds plc,Basic Materials,Other Precious Metals & Mining,2.00,0.32 - 0.33,0.34 - 0.34,0.01 - 0.02,0.32,612.56,1807228,6,0.441,3
*_,BOKU.L,Boku  Inc.,Technology,Software Infrastructure,0.50,220.77 - 225.25,228.75 - 230.00,7.98 - 9.23,218.50,280.06,408926,4,0.013,2
@_,BOOM.L,Audioboom Group plc,Communication Services,Internet Content & Information,1.67,332.25 - 374.00,345.00 - 423.00,12.75 - 90.75,420.00,1730.50,174832,3,0.84,3
@_,BOOT.L,Henry Boot PLC,Real Estate,Real Estate Diversified,0.50,224.00 - 225.92,226.66 - 234.00,2.66 - 10.00,228.00,709.06,116420,3,0.363,6
@_,BOR.L,Borders & Southern Petroleum plc,Energy,Oil & Gas E&P,0.43,9.82 - 10.70,10.17 - 11.90,0.35 - 2.08,11.90,1869.34,2591709,6,-0.904,7
@_,BOWL.L,Hollywood Bowl Group plc,Consumer Cyclical,Leisure,2.00,243.50 - 252.80,255.83 - 259.00,12.33 - 15.50,250.50,364.40,828670,5,0.852,2
*_,BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery,1.00,619.00 - 637.00,635.50 - 645.00,16.50 - 26.00,625.50,188.00,153132,3,1.033,2
*_,BP.L,BP p.l.c.,Energy,Oil & Gas Integrated,0.00,422.30 - 426.00,427.43 - 430.70,5.13 - 8.40,421.70,108.13,38864966,8,0.39,2
@_,BPM.L,B.P. Marsh & Partners PLC,Financial Services,Asset Management,1.00,671.00 - 699.80,680.00 - 709.30,9.00 - 38.30,705.00,367.57,600202,5,0.196,4
@_,BPT.L,Bridgepoint Group plc,Financial Services,Asset Management,0.60,331.40 - 343.80,343.66 - 347.40,12.26 - 16.00,339.20,482.24,676183,5,1.563,5
*_,BRAI.L,BlackRock American Income Trust Ord,Financial Services,Asset Management,1.00,199.00 - 203.37,201.94 - 206.00,2.94 - 7.00,198.71,245.78,74213,3,UNKNOWN,4
@_,BRBY.L,Burberry Group plc,Consumer Cyclical,Luxury Goods,1.00,1102.50 - 1102.50,1119.00 - 1119.00,16.50 - 16.50,1106.00,66.00,1813664,6,1.002,1
@_,BRCK.L,Brickability Group Plc,Industrials,Industrial Distribution,1.50,60.00 - 60.19,61.18 - 61.25,1.18 - 1.25,60.37,185.92,984046,5,0.907,2
@_,BREE.L,Breedon Group plc,Basic Materials,Building Materials,3.50,363.10 - 370.40,373.00 - 380.60,9.90 - 17.50,376.00,261.30,1105854,6,1.126,2
@_,BRES.L,Blencowe Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.33,4.00 - 4.25,4.39 - 4.40,0.39 - 0.40,4.10,1694.71,953383,5,0.862,6
@_,BRFI.L,BlackRock Frontiers Ord,Financial Services,Asset Management,0.50,163.00 - 167.75,167.50 - 169.64,4.50 - 6.64,168.07,361.11,313030,4,UNKNOWN,4
*_,BRGE.L,BlackRock Greater Europe Ord,Financial Services,Asset Management,0.00,566.00 - 573.00,572.50 - 580.00,6.50 - 14.00,573.00,108.00,147501,3,UNKNOWN,2
@_,BRH.L,Braveheart Investment Group plc,Financial Services,Asset Management,0.00,2.22 - 2.22,2.25 - 2.25,0.03 - 0.03,2.25,67.56,12312,2,-0.865,1
*_,BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management,0.50,1780.00 - 1800.00,1820.00 - 1845.00,40.00 - 65.00,1780.00,170.00,16067,2,0.576,2
@_,BRLA.L,BlackRock Latin American Ord,Financial Services,Asset Management,1.67,354.00 - 357.00,363.67 - 365.50,9.67 - 11.50,362.20,373.38,38450,2,UNKNOWN,3
*_,BRWM.L,BlackRock World Mining Trust Ord,Financial Services,Asset Management,1.00,562.63 - 569.25,569.98 - 579.00,7.35 - 16.37,568.00,189.28,269290,4,UNKNOWN,3
@_,BSFA.L,BSF Enterprise Plc,Healthcare,Biotechnology,1.67,1.80 - 2.06,2.03 - 2.25,0.23 - 0.45,2.03,2349.49,104002,3,2.613,3
@_,BSIF.L,Bluefield Solar Income Fund,Financial Services,Asset Management,2.00,94.70 - 96.50,96.00 - 97.62,1.30 - 2.93,96.90,193.36,1058823,6,UNKNOWN,3
*_,BTC.L,London BTC Company Limited,Financial Services,Capital Markets,0.83,5.82 - 6.00,6.07 - 6.25,0.25 - 0.43,6.00,1100.00,726304,5,5.094,6
*_,BTRW.L,Barratt Redrow plc,Consumer Cyclical,Residential Construction,1.50,377.20 - 379.00,381.50 - 382.90,4.30 - 5.70,376.30,221.00,4661965,6,1.485,4
@_,BUC.L,Built Cybernetics plc,Industrials,Engineering & Construction,0.25,2.15 - 2.17,2.25 - 2.28,0.10 - 0.13,2.25,998.29,206260,4,0.028,4
*_,BUR.L,Burford Capital Limited,Financial Services,Asset Management,0.80,949.50 - 1011.00,964.75 - 1030.00,15.25 - 80.50,999.50,544.75,162238,3,0.988,5
@_,BUT.L,Brunner Ord,UNKNOWN,UNKNOWN,2.33,1403.00 - 1427.18,1422.00 - 1456.00,19.00 - 53.00,1446.77,223.71,81115,3,UNKNOWN,3
@_,BVA.L,Banco Bilbao Vizcaya Argentaria  S.A.,Financial Services,Banks Diversified,1.67,15.17 - 15.79,15.91 - 16.61,0.74 - 1.44,16.52,597.38,3148453,6,1.413,3
*_,BVC.L,BATM Advanced Communications Ltd.,Healthcare,Medical Instruments & Supplies,0.00,14.60 - 15.30,15.51 - 15.90,0.91 - 1.30,14.90,732.82,131540,3,0.669,3
*_,BVXP.L,Bioventix PLC,Healthcare,Biotechnology,1.00,2326.00 - 2326.00,2419.00 - 2419.00,93.00 - 93.00,2285.00,186.00,9864,1,0.514,1
*_,BWRA.L,Bristol Water PLC,Utilities,Utilities Regulated Water,2.00,144.50 - 144.50,146.00 - 146.00,1.50 - 1.50,144.00,51.00,3859,1,UNKNOWN,1
*_,BWY.L,Bellway p.l.c.,Consumer Cyclical,Residential Construction,0.00,2448.00 - 2480.00,2482.00 - 2516.00,34.00 - 68.00,2440.00,244.00,471211,4,1.278,3
@_,BXP.L,Beximco Pharmaceuticals Limited,Healthcare,Drug Manufacturers Specialty & Generic,0.80,40.00 - 47.00,44.00 - 48.40,4.00 - 8.40,47.50,1353.70,50445,3,0.506,5
@_,BYG.L,Big Yellow Group Plc,Real Estate,REIT Industrial,0.00,909.00 - 909.00,923.00 - 923.00,14.00 - 14.00,910.00,70.00,256632,4,0.765,1
@_,BYIT.L,Bytes Technology Group plc,Technology,Software Infrastructure,2.00,359.82 - 367.00,367.60 - 390.68,7.78 - 30.86,391.60,528.58,925398,5,0.763,3
@_,CABP.L,CAB Payments Holdings Limited,Financial Services,Banks Diversified,2.33,46.10 - 48.00,46.80 - 51.61,0.70 - 5.51,50.80,930.16,613063,5,1.895,3
@_,CAD.L,Cadogan Energy Solutions PLC,Energy,Oil & Gas E&P,7.00,3.10 - 3.10,3.70 - 3.70,0.60 - 0.60,3.35,967.20,54206,3,0.523,1
@_,CAML.L,Central Asia Metals plc,Basic Materials,Copper,0.80,152.81 - 158.60,157.40 - 161.00,4.59 - 8.19,160.40,471.45,392785,4,1.156,5
@_,CAN.L,Canal+ SA,Communication Services,Entertainment,0.67,237.70 - 240.10,240.80 - 244.90,3.10 - 7.20,240.60,233.10,629062,5,UNKNOWN,3
*_,CAPD.L,Capital Limited,Basic Materials,Other Industrial Metals & Mining,0.80,85.93 - 91.40,89.80 - 93.58,3.87 - 7.65,89.33,651.60,106784,3,UNKNOWN,5
@_,CARD.L,Card Factory plc,Consumer Cyclical,Specialty Retail,2.00,100.00 - 101.20,102.60 - 106.38,2.60 - 6.38,102.80,383.82,843905,5,1.611,2
@_,CARR.L,Carr's Group plc,Consumer Defensive,Packaged Foods,0.33,140.00 - 144.26,146.14 - 151.00,6.14 - 11.00,148.50,1365.56,28031,2,0.701,6
@_,CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies,0.67,32.00 - 32.50,33.00 - 34.00,1.00 - 2.00,32.50,542.20,393496,4,0.866,3
*_,CAV.L,Cavendish plc,Financial Services,Capital Markets,0.00,12.00 - 12.35,12.40 - 12.78,0.40 - 0.78,12.25,1210.19,252379,4,1.242,8
*_,CBG.L,Close Brothers Group plc,Financial Services,Banks Regional,1.00,515.02 - 545.00,534.50 - 558.50,19.48 - 43.48,512.50,466.20,1606452,6,1.187,3
*_,CBOX.L,Cake Box Holdings Plc,Consumer Defensive,Grocery Stores,0.50,202.60 - 217.00,208.00 - 220.00,5.40 - 17.40,205.00,451.60,48017,2,0.881,4
@_,CCC.L,Computacenter plc,Technology,Information Technology Services,2.00,2277.00 - 2372.00,2330.00 - 2404.00,53.00 - 127.00,2382.00,322.00,209617,4,0.624,3
@_,CCH.L,Coca-Cola HBC AG,Consumer Defensive,Beverages Non-Alcoholic,1.33,3614.00 - 3780.00,3736.00 - 3898.00,122.00 - 284.00,3884.00,342.00,936324,5,0.719,3
@_,CCJI.L,CC Japan Income & Growth Ord,Financial Services,Asset Management,1.00,197.00 - 202.91,201.10 - 206.00,4.10 - 9.00,207.88,417.66,190229,3,UNKNOWN,4
@_,CCL.L,Carnival Corporation & plc,Consumer Cyclical,Travel Services,1.00,1954.00 - 2029.00,2030.00 - 2063.00,76.00 - 109.00,2021.00,220.00,515044,5,2.707,2
@_,CCP.L,Celtic plc,Communication Services,Entertainment,0.00,176.00 - 176.84,183.00 - 185.00,7.00 - 9.00,183.00,792.96,1565,1,0.05,4
@_,CCR.L,C&C Group plc,Consumer Defensive,Beverages Brewers,1.50,174.00 - 176.60,175.80 - 179.60,1.80 - 5.60,179.00,274.40,910350,5,1.058,4
@_,CCT.L,The Character Group plc,Consumer Cyclical,Leisure,0.50,300.00 - 322.00,311.50 - 327.70,11.50 - 27.70,320.00,972.20,13868,2,0.413,8
*_,CDGP.L,Chapel Down Group Plc,Consumer Defensive,Beverages Wineries & Distilleries,0.50,42.50 - 44.20,43.30 - 45.00,0.80 - 2.50,42.48,710.99,43703,2,1.058,6
@_,CDL.L,Cloudbreak Discovery Plc,Basic Materials,Other Industrial Metals & Mining,0.67,0.13 - 0.14,0.15 - 0.16,0.02 - 0.03,0.15,2649.85,1143993,6,0.364,3
@_,CEG.L,Challenger Energy Group PLC,Energy,Oil & Gas E&P,0.30,7.00 - 7.75,7.60 - 8.00,0.60 - 1.00,7.50,3689.83,362578,4,1.246,10
@_,CEPS.L,CEPS PLC,Industrials,Engineering & Construction,1.00,25.00 - 31.00,32.50 - 36.44,7.50 - 11.44,30.00,3698.42,54472,3,-0.317,4
*_,CER.L,Cerillion Plc,Technology,Software Application,0.00,1492.20 - 1492.20,1515.00 - 1515.00,22.80 - 22.80,1457.00,68.40,35158,2,0.655,1
@_,CFX.L,Colefax Group PLC,Consumer Cyclical,Furnishings  Fixtures & Appliances,8.00,850.00 - 850.00,865.00 - 865.00,15.00 - 15.00,850.00,75.00,532,1,0.055,1
@_,CFYN.L,Caffyns plc,Consumer Cyclical,Auto & Truck Dealerships,0.67,450.00 - 475.00,500.00 - 500.00,50.00 - 50.00,500.00,1050.00,448,1,0.608,3
@_,CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates,1.50,2215.00 - 2332.50,2350.00 - 2385.00,135.00 - 170.00,2379.07,505.00,116044,3,0.857,4
@_,CGNR.L,Conroy Gold and Natural Resources plc,Basic Materials,Gold,2.00,5.26 - 5.75,5.90 - 5.90,0.64 - 0.64,5.75,738.35,100621,3,1.157,2
@_,CGO.L,Contango Holdings plc,Energy,Thermal Coal,2.50,0.80 - 0.80,0.84 - 0.94,0.04 - 0.13,0.90,1124.82,865929,5,UNKNOWN,2
*_,CGS.L,Castings P.L.C.,Industrials,Specialty Industrial Machinery,0.67,270.00 - 284.12,279.00 - 290.00,9.00 - 20.00,272.00,1117.62,16228,2,0.378,6
*_,CHAR.L,Chariot Limited,Energy,Oil & Gas E&P,0.33,1.30 - 1.50,1.37 - 1.60,0.07 - 0.30,1.37,3653.51,996542,5,-0.713,9
@_,CHF.L,Chesterfield Resources plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.60 - 0.62,0.65 - 0.65,0.05 - 0.05,0.68,660.55,399036,4,1.211,2
@_,CHG.L,Chemring Group PLC,Industrials,Aerospace & Defense,0.25,525.66 - 533.90,536.00 - 543.00,10.34 - 17.34,536.00,304.56,752853,5,0.621,4
@_,CHH.L,Churchill China plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.25,402.20 - 444.00,416.16 - 449.45,13.96 - 47.25,440.00,1279.68,22532,2,0.7,8
@_,CHI.L,CT UK High Income Ord,Financial Services,Asset Management,1.33,103.00 - 103.05,105.27 - 106.00,2.27 - 3.00,104.19,370.56,106277,3,UNKNOWN,3
@_,CHLL.L,Chill Brands Group PLC,Healthcare,Drug Manufacturers Specialty & Generic,0.20,1.10 - 1.35,1.20 - 1.60,0.10 - 0.50,1.45,2894.28,4652101,6,0.805,5
*_,CHRT.L,Cohort plc,Industrials,Aerospace & Defense,0.00,1276.00 - 1402.00,1312.00 - 1424.70,36.00 - 148.70,1270.00,176.10,134806,3,0.191,2
@_,CHRY.L,Chrysalis Investments Limited Ord,UNKNOWN,UNKNOWN,1.67,118.20 - 124.65,122.40 - 126.00,4.20 - 7.80,125.00,381.69,2409390,6,UNKNOWN,3
*_,CHSS.L,World Chess PLC,Technology,Software Application,0.00,1.11 - 1.30,1.38 - 1.50,0.27 - 0.39,1.12,1985.28,514713,5,1.697,2
@_,CIC.L,The Conygar Investment Company PLC,Real Estate,Real Estate Development,0.33,29.00 - 30.10,30.00 - 31.00,1.00 - 2.00,30.00,574.48,53252,3,0.317,3
*_,CIZ.L,Cizzle Biotechnology Holdings Plc,Healthcare,Biotechnology,0.29,1.30 - 1.34,1.38 - 1.40,0.08 - 0.10,1.30,2215.55,1119602,6,0.633,7
*_,CKI.L,UNKNOWN,Utilities,Utilities Regulated Electric,0.67,508.00 - 522.00,518.00 - 530.00,10.00 - 22.00,510.00,600.75,6767,1,0.73,6
*_,CKN.L,Clarkson PLC,Industrials,Marine Shipping,0.00,3575.00 - 3575.00,3625.00 - 3625.00,50.00 - 50.00,3480.00,50.00,52208,3,1.156,1
*_,CKT.L,Checkit plc,Technology,Software Application,0.60,13.11 - 14.50,13.50 - 15.00,0.39 - 1.89,13.50,982.20,56183,3,0.469,5
@_,CLA.L,Celsius Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.00,0.31 - 0.32,0.35 - 0.37,0.04 - 0.06,0.32,1439.04,1041857,6,0.677,2
@_,CLAI.L,Cel AI PLC,Consumer Defensive,Household & Personal Products,1.00,0.12 - 0.12,0.14 - 0.15,0.02 - 0.02,0.14,2000.00,82593426,9,0.446,2
*_,CLBS.L,Celebrus Technologies plc,Technology,Software Application,0.30,166.11 - 168.16,168.34 - 170.00,2.23 - 3.89,166.95,741.02,59563,3,0.977,10
@_,CLCO.L,CloudCoCo Group plc,Technology,Software Infrastructure,0.62,0.26 - 0.28,0.30 - 0.32,0.04 - 0.06,0.28,5414.73,281484,4,-0.613,8
*_,CLDN.L,Caledonia Investments Ord,Financial Services,Asset Management,1.00,363.39 - 384.38,368.49 - 388.92,5.10 - 25.54,383.00,433.03,431439,4,UNKNOWN,6
*_,CLI.L,CLS Holdings plc,Real Estate,REIT Office,0.33,64.00 - 64.98,65.20 - 66.70,1.20 - 2.70,61.80,287.46,583842,5,0.877,3
@_,CLIG.L,City of London Investment Group Plc,Financial Services,Asset Management,1.40,359.00 - 375.99,363.00 - 382.00,4.00 - 23.00,377.00,527.28,70027,3,0.229,5
@_,CLX.L,Calnex Solutions plc,Technology,Communication Equipment,0.50,47.17 - 49.23,48.00 - 50.50,0.83 - 3.33,50.50,767.42,68496,3,1.675,6
@_,CMCL.L,Caledonia Mining Corporation Plc,Basic Materials,Gold,0.14,1600.00 - 1680.00,1643.00 - 1750.00,43.00 - 150.00,1715.00,1173.90,5400,1,0.215,7
*_,CMCX.L,CMC Markets Plc,Financial Services,Capital Markets,0.20,228.50 - 232.00,231.50 - 238.50,3.00 - 10.00,225.00,425.25,315431,4,0.715,5
@_,CMET.L,Capital Metals plc,Basic Materials,Other Industrial Metals & Mining,1.00,2.80 - 3.10,3.16 - 3.30,0.36 - 0.50,3.00,2300.96,107319,3,0.07,5
*_,CML.L,CML Microsystems plc,Technology,Semiconductors,0.40,283.00 - 303.66,295.00 - 310.00,12.00 - 27.00,285.00,937.04,20907,2,0.437,5
@_,CMRS.L,Critical Mineral Resources PLC,Basic Materials,Other Precious Metals & Mining,7.00,1.54 - 1.54,3.20 - 3.20,1.66 - 1.66,3.30,5388.36,1775192,6,1.257,1
@_,CNA.L,Centrica plc,Utilities,Utilities Independent Power Producers,2.33,165.60 - 166.20,167.60 - 169.10,2.00 - 3.50,167.80,241.50,20599462,8,0.6,3
*_,CNC.L,Concurrent Technologies Plc,Technology,Computer Hardware,1.50,184.50 - 189.80,186.75 - 192.00,2.25 - 7.50,186.50,371.28,432503,4,0.853,4
@_,CNE.L,Capricorn Energy PLC,Energy,Oil & Gas E&P,1.00,204.00 - 213.00,213.50 - 216.00,9.50 - 12.00,214.50,539.88,147308,3,0.662,5
@_,CNS.L,Corero Network Security plc,Technology,Software Infrastructure,0.56,9.73 - 9.85,9.98 - 10.50,0.25 - 0.77,10.00,1178.02,172915,3,-0.36,9
@_,CNSL.L,Cambridge Nutritional Sciences plc,Healthcare,Medical Instruments & Supplies,0.00,3.30 - 3.42,3.50 - 3.64,0.20 - 0.34,3.50,2585.53,255224,4,1.468,10
@_,COA.L,Coats Group plc,Consumer Cyclical,Textile Manufacturing,2.00,71.80 - 73.70,73.60 - 74.80,1.80 - 3.00,73.90,283.19,7964317,7,1.18,3
@_,COBR.L,Cobra Resources plc,Basic Materials,Other Precious Metals & Mining,0.44,2.56 - 3.65,2.84 - 3.85,0.28 - 1.29,3.75,2981.14,3844222,6,-0.112,9
@_,COD.L,Compagnie de Saint-Gobain S.A.,Industrials,Building Products & Equipment,0.80,93.88 - 98.50,96.66 - 99.60,2.78 - 5.72,99.04,396.65,397872,4,1.2,5
*_,CODE.L,Northcoders Group PLC,Consumer Defensive,Education & Training Services,0.00,36.00 - 36.81,38.00 - 38.00,2.00 - 2.00,35.50,436.65,15573,2,-0.636,2
@_,COG.L,Cambridge Cognition Holdings Plc,Healthcare,Health Information Services,0.60,24.00 - 25.22,25.37 - 26.00,1.37 - 2.00,25.00,932.44,17511,2,0.479,5
@_,COM.L,Comptoir Group PLC,Consumer Cyclical,Restaurants,0.00,3.90 - 3.90,4.05 - 4.05,0.15 - 0.15,4.05,192.30,3792,1,0.696,1
@_,CORA.L,Cora Gold Limited,Basic Materials,Gold,0.29,6.25 - 6.38,6.50 - 6.75,0.25 - 0.50,6.62,1722.28,148673,3,0.109,7
@_,CORO.L,Coro Energy plc,Energy,Oil & Gas E&P,0.00,0.45 - 0.47,0.49 - 0.50,0.04 - 0.05,0.50,2286.16,1080434,6,1.004,6
*_,COST.L,Costain Group PLC,Industrials,Engineering & Construction,1.00,165.64 - 166.60,169.20 - 170.59,3.56 - 4.95,165.00,226.50,1283293,6,1.738,2
@_,CPAI.L,capAI Plc,Real Estate,Real Estate Diversified,1.00,0.39 - 0.39,0.47 - 0.47,0.08 - 0.08,0.47,1030.88,91283657,9,-0.298,1
*_,CPH2.L,Clean Power Hydrogen plc,Industrials,Specialty Industrial Machinery,1.50,5.20 - 5.24,5.29 - 5.30,0.09 - 0.10,5.20,267.97,477962,4,0.256,4
*_,CPI.L,Capita plc,Industrials,Specialty Business Services,0.00,249.50 - 257.50,253.50 - 263.01,4.00 - 13.51,231.84,184.69,634372,5,1.479,2
*_,CPP.L,CPPGroup Plc,Industrials,Specialty Business Services,0.00,134.00 - 135.90,139.70 - 142.50,5.70 - 8.50,128.50,691.50,6601,1,1.109,3
@_,CPX.L,CAP-XX Limited,Technology,Electronic Components,2.50,0.37 - 0.43,0.45 - 0.47,0.08 - 0.09,0.43,1582.34,134994916,10,2.126,2
*_,CRCL.L,Corcel Plc,Energy,Oil & Gas E&P,0.29,0.38 - 0.38,0.39 - 0.41,0.01 - 0.03,0.38,1185.80,9941927,7,0.357,7
@_,CRDA.L,Croda International Plc,Basic Materials,Specialty Chemicals,0.50,2454.04 - 2470.00,2489.00 - 2512.00,34.96 - 57.96,2501.00,153.92,670836,5,0.773,2
@_,CRDL.L,Cordel Group Plc,Technology,Software Application,0.25,6.00 - 6.62,6.50 - 7.00,0.50 - 1.00,6.50,1732.27,96919,3,0.882,4
*_,CRE.L,Conduit Holdings Limited,Financial Services,Insurance Reinsurance,1.00,298.00 - 308.00,303.83 - 312.50,5.83 - 14.50,277.50,250.88,1171901,6,0.566,3
*_,CREI.L,Custodian Property Income REIT Ord,Real Estate,REIT Diversified,0.50,77.30 - 77.70,78.20 - 79.29,0.90 - 1.99,77.00,159.36,670807,5,UNKNOWN,2
@_,CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices,0.33,12.75 - 12.95,13.17 - 14.29,0.42 - 1.54,13.88,1638.14,247483,4,0.535,6
*_,CRL.L,Creightons Plc,Consumer Defensive,Household & Personal Products,1.00,35.00 - 35.25,35.80 - 36.00,0.80 - 1.00,33.00,358.51,75276,3,0.656,3
*_,CRN.L,Cairn Homes plc,Consumer Cyclical,Residential Construction,1.50,190.20 - 191.80,194.60 - 194.80,4.40 - 4.60,188.80,192.40,181704,3,0.694,2
@_,CRPR.L,James Cropper PLC,Basic Materials,Paper & Paper Products,2.00,252.00 - 255.00,260.00 - 269.60,8.00 - 17.60,260.00,429.40,7403,1,0.286,2
@_,CRS.L,Crystal Amber Ord,Financial Services,Asset Management,0.00,151.10 - 152.75,154.10 - 155.00,3.00 - 3.90,155.00,424.44,33123,2,UNKNOWN,4
*_,CRST.L,Crest Nicholson Holdings plc,Consumer Cyclical,Residential Construction,1.00,177.90 - 182.90,182.34 - 187.10,4.44 - 9.20,178.40,237.72,299967,4,1.594,2
@_,CRTA.L,Cirata plc,Technology,Software Application,0.43,19.05 - 19.50,19.70 - 20.00,0.65 - 0.95,19.50,1008.38,60037,3,1.435,7
@_,CRTM.L,Critical Metals Plc,Basic Materials,Other Industrial Metals & Mining,0.50,3.03 - 3.83,4.00 - 4.50,0.97 - 1.47,3.60,2474.85,650985,5,1.803,2
@_,CRTX.L,CRISM Therapeutics Corporation,Healthcare,Biotechnology,0.00,10.50 - 10.57,10.75 - 10.75,0.25 - 0.25,10.50,204.14,8889,1,0.17,2
*_,CRU.L,Coral Products PLC,Consumer Cyclical,Packaging & Containers,1.67,10.50 - 11.00,10.75 - 11.25,0.25 - 0.75,10.25,470.50,87532,3,0.444,3
*_,CRW.L,Craneware plc,Healthcare,Health Information Services,0.50,2180.00 - 2364.00,2240.00 - 2450.00,60.00 - 270.00,2245.00,292.00,66229,3,0.341,2
@_,CSC.L,Chesterfield Special Cylinders Holdings Plc,Energy,Oil & Gas Equipment & Services,2.50,31.00 - 31.00,31.50 - 34.00,0.50 - 3.00,32.50,563.50,44425,2,1.482,2
@_,CSN.L,Chesnara plc,Financial Services,Insurance Life,0.67,271.61 - 293.38,275.50 - 296.50,3.89 - 24.89,295.50,572.93,1154802,6,0.466,6
*_,CSSG.L,Croma Security Solutions Group plc,Industrials,Security & Protection Services,0.33,78.00 - 78.50,79.76 - 82.00,1.76 - 4.00,77.50,445.78,8950,1,0.528,3
*_,CTA.L,CT Automotive Group plc,Consumer Cyclical,Auto Parts,0.80,36.51 - 41.31,38.00 - 43.00,1.49 - 6.49,37.00,1253.26,245233,4,0.468,5
@_,CTAI.L,Catenai PLC,Technology,Software Infrastructure,1.75,0.26 - 0.27,0.28 - 0.29,0.02 - 0.02,0.27,1704.96,20076587,8,0.516,4
@_,CTEC.L,ConvaTec Group PLC,Healthcare,Medical Instruments & Supplies,3.00,226.40 - 227.80,230.92 - 231.40,4.52 - 5.00,229.00,175.52,10771054,8,0.741,2
@_,CTG.L,Christie Group plc,Industrials,Specialty Business Services,1.50,101.00 - 102.00,107.50 - 107.50,6.50 - 6.50,107.50,588.00,7136,1,0.538,2
*_,CTL.L,CleanTech Lithium Plc,Basic Materials,Other Industrial Metals & Mining,0.22,5.38 - 6.68,5.80 - 7.23,0.43 - 1.85,5.80,2113.75,863497,5,-0.698,9
*_,CTPE.L,CT Private Equity Trust Ord,Financial Services,Asset Management,0.00,482.00 - 482.00,489.00 - 489.00,7.00 - 7.00,470.80,70.00,99297,3,UNKNOWN,1
@_,CTUK.L,CT UK Capital and Income Ord,Financial Services,Asset Management,2.33,334.00 - 337.75,338.00 - 342.00,4.00 - 8.00,338.00,188.86,137945,3,UNKNOWN,3
@_,CTY.L,City of London Ord,Financial Services,Asset Management,6.00,494.36 - 494.36,502.39 - 502.39,8.03 - 8.03,499.88,80.30,958139,5,UNKNOWN,1
*_,CURY.L,Currys plc,Consumer Cyclical,Specialty Retail,1.33,112.03 - 112.50,113.30 - 114.10,1.27 - 2.07,111.00,192.28,1688396,6,1.145,3
