I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk
*_,BLU.L,Blue Star Capital plc,Financial Services,Asset Management,0.80,18.92 - 21.00,19.50 - 21.75,0.58 - 2.83,18.50,1170.87,1032105,6,1.955
*_,BME.L,B&M European Value Retail S.A.,Consumer Defensive,Discount Stores,0.00,274.40 - 276.00,277.90 - 280.10,3.50 - 5.70,261.40,136.80,6500743,7,0.914
*_,BMK.L,Benchmark Holdings plc,Consumer Defensive,Packaged Foods,0.00,24.61 - 24.61,25.00 - 25.00,0.39 - 0.39,24.60,79.17,441865,4,0.288
*_,BMS.L,Braemar Plc,Industrials,Marine Shipping,1.00,210.00 - 221.00,218.00 - 225.00,8.00 - 15.00,215.00,518.41,118549,3,0.889
@_,BMT.L,Braime Group PLC,Industrials,Industrial Distribution,0.00,925.00 - 925.00,1037.50 - 1037.50,112.50 - 112.50,925.00,562.50,48,1,0.196
@_,BMV.L,Bluebird Mining Ventures Ltd,Basic Materials,Gold,0.50,1.06 - 1.12,1.24 - 1.40,0.18 - 0.34,1.36,2139.96,25286471,8,1.351
*_,BMY.L,Bloomsbury Publishing Plc,Communication Services,Publishing,0.67,486.50 - 498.50,494.50 - 505.00,8.00 - 18.50,493.50,255.00,272024,4,0.507
@_,BNC.L,Banco Santander  S.A.,Financial Services,Banks Diversified,1.67,610.00 - 619.13,619.00 - 648.00,9.00 - 38.00,625.00,382.96,4175754,6,1.289
*_,BNZL.L,Bunzl plc,Consumer Defensive,Food Distribution,1.50,2310.00 - 2323.45,2336.00 - 2358.00,26.00 - 48.00,2296.00,121.10,772484,5,0.287
@_,BOD.L,Botswana Diamonds plc,Basic Materials,Other Precious Metals & Mining,10.00,0.19 - 0.19,0.30 - 0.30,0.11 - 0.11,0.29,2852.63,5405427,7,0.547
@_,BOKU.L,Boku  Inc.,Technology,Software Infrastructure,0.40,202.00 - 211.80,205.00 - 214.28,3.00 - 12.28,214.50,509.14,623605,5,-0.005
*_,BOOM.L,Audioboom Group plc,Communication Services,Internet Content & Information,0.00,305.80 - 333.00,310.00 - 340.00,4.20 - 34.20,312.50,518.70,88219,3,0.885
@_,BOOT.L,Henry Boot PLC,Real Estate,Real Estate Diversified,1.75,226.38 - 235.00,237.43 - 242.28,11.05 - 15.90,236.39,559.38,112088,3,0.354
@_,BOR.L,Borders & Southern Petroleum plc,Energy,Oil & Gas E&P,0.00,6.20 - 6.53,6.52 - 6.95,0.32 - 0.75,6.93,2111.91,875335,5,-0.811
@_,BOWL.L,Hollywood Bowl Group plc,Consumer Cyclical,Leisure,7.00,234.00 - 234.00,252.50 - 252.50,18.50 - 18.50,246.00,388.50,1740931,6,0.838
*_,BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery,1.33,584.50 - 611.00,607.50 - 618.00,23.00 - 33.50,592.00,373.04,227396,4,1.036
@_,BP.L,BP p.l.c.,Energy,Oil & Gas Integrated,1.00,372.02 - 386.45,386.70 - 401.43,14.68 - 29.41,401.70,370.60,29029844,8,0.394
@_,BPM.L,B.P. Marsh & Partners PLC,Financial Services,Asset Management,1.67,702.00 - 710.00,713.70 - 719.90,11.70 - 17.90,715.00,233.10,50103,3,0.173
@_,BPT.L,Bridgepoint Group plc,Financial Services,Asset Management,0.75,310.00 - 326.00,322.60 - 336.80,12.60 - 26.80,337.20,552.60,404235,4,1.571
@_,BRAI.L,BlackRock American Income Trust Ord,Financial Services,Asset Management,3.00,195.50 - 195.50,197.50 - 197.50,2.00 - 2.00,197.00,50.00,146785,3,UNKNOWN
*_,BRBY.L,Burberry Group plc,Consumer Cyclical,Luxury Goods,1.00,1219.48 - 1241.00,1243.00 - 1261.00,23.52 - 41.52,1220.00,348.08,1995557,6,0.979
*_,BRCK.L,Brickability Group Plc,Industrials,Industrial Distribution,0.50,63.00 - 63.20,63.95 - 64.24,0.95 - 1.24,61.80,157.21,833609,5,0.915
@_,BREE.L,Breedon Group plc,Basic Materials,Building Materials,0.33,375.40 - 381.80,380.40 - 387.40,5.00 - 12.00,387.60,252.20,1070163,6,1.132
@_,BRES.L,Blencowe Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.22,3.80 - 3.95,3.97 - 4.05,0.17 - 0.25,3.95,1322.87,1978272,6,0.847
@_,BRFI.L,BlackRock Frontiers Ord,Financial Services,Asset Management,8.00,157.50 - 157.50,160.50 - 160.50,3.00 - 3.00,160.50,93.00,361428,4,UNKNOWN
@_,BRGE.L,BlackRock Greater Europe Ord,Financial Services,Asset Management,6.00,590.00 - 590.00,609.00 - 609.00,19.00 - 19.00,603.00,152.00,108925,3,UNKNOWN
*_,BRH.L,Braveheart Investment Group plc,Financial Services,Asset Management,1.00,2.15 - 2.33,2.25 - 2.40,0.10 - 0.25,2.25,730.63,82815,3,-0.827
@_,BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management,0.50,1690.00 - 1740.00,1717.00 - 1790.00,27.00 - 100.00,1755.00,274.00,17383,2,0.584
*_,BRLA.L,BlackRock Latin American Ord,Financial Services,Asset Management,2.00,353.95 - 353.95,358.95 - 358.95,5.00 - 5.00,349.00,70.00,66641,3,UNKNOWN
@_,BRSC.L,BlackRock Smaller Companies Ord,Financial Services,Asset Management,5.00,1298.00 - 1298.00,1316.00 - 1316.00,18.00 - 18.00,1308.00,54.00,94626,3,UNKNOWN
@_,BRWM.L,BlackRock World Mining Trust Ord,Financial Services,Asset Management,4.00,536.00 - 536.00,558.00 - 558.00,22.00 - 22.00,558.00,198.00,471508,4,UNKNOWN
@_,BSFA.L,BSF Enterprise Plc,Healthcare,Biotechnology,0.67,1.64 - 1.85,1.90 - 2.25,0.26 - 0.61,2.00,4900.32,194208,3,2.62
@_,BSIF.L,Bluefield Solar Income Fund,Financial Services,Asset Management,1.00,97.40 - 97.40,98.40 - 98.40,1.00 - 1.00,98.40,51.00,UNKNOWN,0,UNKNOWN
*_,BTC.L,London BTC Company Limited,Financial Services,Capital Markets,0.40,17.61 - 19.50,18.51 - 19.87,0.90 - 2.26,12.94,1060.60,3218191,6,4.362
*_,BTRW.L,Barratt Redrow plc,Consumer Cyclical,Residential Construction,0.50,414.90 - 429.40,425.73 - 436.50,10.83 - 21.60,415.95,208.06,4161409,6,1.464
@_,BUC.L,Built Cybernetics plc,Industrials,Engineering & Construction,0.50,2.12 - 2.25,2.34 - 2.36,0.22 - 0.24,2.40,1891.37,877592,5,0.055
@_,BUR.L,Burford Capital Limited,Financial Services,Asset Management,3.00,953.00 - 988.00,1017.00 - 1093.00,64.00 - 140.00,1052.00,845.00,479412,4,1.046
*_,BVA.L,Banco Bilbao Vizcaya Argentaria  S.A.,Financial Services,Banks Diversified,1.33,12.93 - 13.31,13.23 - 13.63,0.31 - 0.70,12.97,409.24,2757693,6,1.417
@_,BVC.L,BATM Advanced Communications Ltd.,Healthcare,Medical Instruments & Supplies,0.27,15.16 - 15.60,15.77 - 16.20,0.61 - 1.04,15.62,2055.13,133775,3,0.727
@_,BVXP.L,Bioventix PLC,Healthcare,Biotechnology,1.00,2668.00 - 2750.00,2750.00 - 2800.00,82.00 - 132.00,2775.00,332.00,3848,1,0.512
*_,BWY.L,Bellway p.l.c.,Consumer Cyclical,Residential Construction,0.00,2624.00 - 2624.00,2698.00 - 2698.00,74.00 - 74.00,2586.00,74.00,370004,4,1.251
@_,BXP.L,Beximco Pharmaceuticals Limited,Healthcare,Drug Manufacturers Specialty & Generic,1.00,35.00 - 38.50,37.50 - 39.00,2.50 - 4.00,39.00,848.90,45848,2,0.556
*_,BYG.L,Big Yellow Group Plc,Real Estate,REIT Industrial,1.00,934.00 - 934.00,951.00 - 951.00,17.00 - 17.00,927.00,85.00,575618,5,0.754
*_,BYIT.L,Bytes Technology Group plc,Technology,Software Infrastructure,0.75,348.51 - 361.40,353.80 - 365.31,5.29 - 16.80,328.81,267.13,2485772,6,0.717
@_,CABP.L,CAB Payments Holdings Limited,Financial Services,Banks Diversified,0.50,49.00 - 50.20,50.86 - 51.20,1.86 - 2.20,51.00,289.74,714516,5,UNKNOWN
@_,CAD.L,Cadogan Energy Solutions PLC,Energy,Oil & Gas E&P,0.00,3.10 - 3.16,3.35 - 3.75,0.25 - 0.65,3.35,1648.39,55725,3,0.518
*_,CAML.L,Central Asia Metals plc,Basic Materials,Copper,0.00,160.40 - 160.40,165.40 - 165.40,5.00 - 5.00,146.60,155.00,875830,5,1.162
@_,CAN.L,Canal+ SA,Communication Services,Entertainment,1.00,224.80 - 229.10,229.00 - 232.20,4.20 - 7.40,229.70,286.40,673540,5,UNKNOWN
*_,CAPD.L,Capital Limited,Basic Materials,Other Industrial Metals & Mining,0.80,84.00 - 85.88,85.10 - 86.80,1.10 - 2.80,85.10,440.44,139964,3,0.541
*_,CAR.L,Carclo plc,Consumer Cyclical,Auto Parts,0.00,46.30 - 47.72,47.90 - 49.00,1.60 - 2.70,44.90,581.52,539126,5,0.348
*_,CARD.L,Card Factory plc,Consumer Cyclical,Specialty Retail,1.50,87.68 - 88.25,89.90 - 91.20,2.22 - 3.51,87.60,293.04,864774,5,1.623
*_,CARR.L,Carr's Group plc,Consumer Defensive,Packaged Foods,0.00,151.50 - 154.75,155.00 - 156.75,3.50 - 5.25,148.85,325.96,81149,3,0.721
@_,CASP.L,Caspian Sunrise plc,Energy,Oil & Gas Integrated,0.00,1.86 - 1.86,2.25 - 2.25,0.39 - 0.39,2.15,1048.32,109278,3,1.75
@_,CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies,0.00,32.00 - 32.51,33.00 - 33.37,1.00 - 1.37,33.00,1028.22,247585,4,0.838
*_,CAV.L,Cavendish plc,Financial Services,Capital Markets,0.50,13.05 - 14.14,13.50 - 14.50,0.45 - 1.45,12.00,1047.39,830936,5,UNKNOWN
@_,CBG.L,Close Brothers Group plc,Financial Services,Banks Regional,2.00,358.68 - 378.00,386.00 - 419.00,27.32 - 60.32,390.00,1139.06,686125,5,1.196
*_,CBOX.L,Cake Box Holdings Plc,Consumer Defensive,Grocery Stores,0.60,178.00 - 182.50,181.95 - 190.00,3.95 - 12.00,180.00,758.60,22965,2,0.905
*_,CCC.L,Computacenter plc,Technology,Information Technology Services,0.75,2264.00 - 2292.00,2298.00 - 2322.00,34.00 - 58.00,2250.00,260.00,148389,3,0.65
@_,CCH.L,Coca-Cola HBC AG,Consumer Defensive,Beverages Non-Alcoholic,2.00,3816.00 - 3926.00,3974.00 - 4059.85,158.00 - 243.85,3922.00,291.85,1109420,6,0.726
*_,CCL.L,Carnival Corporation & plc,Consumer Cyclical,Travel Services,1.25,1914.97 - 1983.00,1957.00 - 2011.00,42.03 - 96.03,1962.50,286.06,558994,5,2.583
*_,CCP.L,Celtic plc,Communication Services,Entertainment,0.00,190.00 - 192.00,195.00 - 195.00,5.00 - 5.00,185.00,286.00,2026,1,0.008
@_,CCPA.L,Celtic plc,Communication Services,Entertainment,0.00,184.00 - 184.00,191.00 - 191.00,7.00 - 7.00,191.00,189.00,410,1,0.008
@_,CCR.L,C&C Group plc,Consumer Defensive,Beverages Brewers,1.25,162.60 - 165.60,164.40 - 168.80,1.80 - 6.20,166.60,342.00,662117,5,1.076
@_,CCT.L,The Character Group plc,Consumer Cyclical,Leisure,1.25,260.00 - 273.00,270.00 - 279.00,10.00 - 19.00,270.00,645.61,10684,2,0.418
*_,CDGP.L,Chapel Down Group Plc,Consumer Defensive,Beverages Wineries & Distilleries,0.17,43.00 - 44.66,44.50 - 46.00,1.50 - 3.00,43.50,1308.94,41156,2,1.07
@_,CDL.L,Cloudbreak Discovery Plc,Basic Materials,Other Industrial Metals & Mining,0.80,0.16 - 0.17,0.19 - 0.20,0.03 - 0.04,0.17,3898.67,949070,5,0.333
@_,CEG.L,Challenger Energy Group PLC,Energy,Oil & Gas E&P,0.00,7.15 - 7.27,7.43 - 7.80,0.28 - 0.65,7.50,1430.88,195192,3,1.244
@_,CEPS.L,CEPS PLC,Industrials,Engineering & Construction,3.00,21.50 - 21.50,24.75 - 24.75,3.25 - 3.25,22.50,754.00,8423,1,-0.306
*_,CER.L,Cerillion Plc,Technology,Software Application,1.00,1550.60 - 1553.50,1580.00 - 1580.00,29.40 - 29.40,1525.00,247.71,29275,2,0.65
*_,CFX.L,Colefax Group PLC,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.00,770.20 - 770.20,780.00 - 780.00,9.80 - 9.80,770.00,58.80,1345,1,0.071
@_,CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates,1.67,1952.00 - 2010.00,2050.00 - 2055.00,98.00 - 103.00,2020.00,376.00,65472,3,0.844
@_,CGNR.L,Conroy Gold and Natural Resources plc,Basic Materials,Gold,0.57,3.50 - 6.55,4.60 - 7.90,1.10 - 4.40,6.75,7484.95,359715,4,1.376
@_,CGO.L,Contango Holdings plc,Energy,Thermal Coal,0.00,0.90 - 0.98,1.02 - 1.10,0.12 - 0.20,1.02,2392.71,798169,5,UNKNOWN
@_,CGS.L,Castings P.L.C.,Industrials,Specialty Industrial Machinery,1.00,282.50 - 300.25,289.00 - 308.50,6.50 - 26.00,300.50,658.50,37535,2,0.378
*_,CHAR.L,Chariot Limited,Energy,Oil & Gas E&P,0.67,1.47 - 1.54,1.60 - 1.70,0.13 - 0.23,1.49,2087.31,2980901,6,-0.765
@_,CHF.L,Chesterfield Resources plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.75 - 0.75,0.77 - 0.77,0.02 - 0.02,0.77,399.96,139095,3,1.206
@_,CHG.L,Chemring Group PLC,Industrials,Aerospace & Defense,1.67,549.00 - 554.00,559.00 - 569.00,10.00 - 20.00,558.00,279.00,758506,5,0.596
*_,CHH.L,Churchill China plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,1.00,614.00 - 654.00,629.00 - 675.00,15.00 - 61.00,620.00,572.97,11807,2,0.63
@_,CHI.L,CT UK High Income Ord,Financial Services,Asset Management,3.00,103.00 - 103.00,107.00 - 107.00,4.00 - 4.00,103.00,192.00,48064,2,UNKNOWN
@_,CHRT.L,Cohort plc,Industrials,Aerospace & Defense,1.50,1474.00 - 1536.00,1560.00 - 1577.93,86.00 - 103.93,1540.00,383.79,98887,3,0.194
*_,CHSS.L,World Chess PLC,Technology,Software Application,3.50,1.75 - 2.00,2.15 - 2.62,0.40 - 0.87,1.75,2692.80,873236,5,1.682
*_,CIC.L,The Conygar Investment Company PLC,Real Estate,Real Estate Development,0.29,33.20 - 34.50,34.00 - 35.00,0.80 - 1.80,34.00,872.24,22953,2,0.298
*_,CIZ.L,Cizzle Biotechnology Holdings Plc,Healthcare,Biotechnology,0.33,1.42 - 1.50,1.52 - 1.60,0.10 - 0.18,1.45,1651.97,605126,5,0.7
*_,CKI.L,UNKNOWN,Utilities,Utilities Regulated Electric,0.80,486.00 - 495.00,497.00 - 510.00,11.00 - 24.00,480.00,767.60,7853,1,0.742
@_,CKN.L,Clarkson PLC,Industrials,Marine Shipping,2.00,3265.00 - 3300.00,3325.00 - 3413.36,60.00 - 148.36,3390.00,237.19,44288,2,1.159
@_,CKT.L,Checkit plc,Technology,Software Application,0.80,15.00 - 15.70,16.00 - 16.00,1.00 - 1.00,16.00,911.40,59903,3,0.467
*_,CLAI.L,Cel AI PLC,Consumer Defensive,Household & Personal Products,0.11,0.28 - 0.31,0.31 - 0.35,0.03 - 0.07,0.29,4686.22,56157063,9,0.465
*_,CLBS.L,Celebrus Technologies plc,Technology,Software Application,0.29,143.00 - 178.55,146.10 - 185.00,3.10 - 42.00,175.00,1803.10,164766,3,1.027
@_,CLCO.L,CloudCoCo Group plc,Technology,Software Infrastructure,0.00,0.22 - 0.27,0.28 - 0.30,0.06 - 0.08,0.28,6456.45,4431929,6,-0.64
@_,CLDN.L,Caledonia Investments Ord,Financial Services,Asset Management,2.00,3570.00 - 3570.00,3630.00 - 3630.00,60.00 - 60.00,3630.00,60.00,26104,2,UNKNOWN
@_,CLI.L,CLS Holdings plc,Real Estate,REIT Office,1.33,68.40 - 68.60,69.40 - 69.40,1.00 - 1.00,69.10,189.64,405911,4,0.87
@_,CLIG.L,City of London Investment Group Plc,Financial Services,Asset Management,0.50,346.00 - 353.01,349.74 - 357.00,3.74 - 11.00,356.00,343.28,87549,3,0.24
@_,CLX.L,Calnex Solutions plc,Technology,Communication Equipment,3.50,44.13 - 46.45,47.44 - 48.70,3.31 - 4.57,49.50,614.78,116039,3,1.693
@_,CMCL.L,Caledonia Mining Corporation Plc,Basic Materials,Gold,0.50,1441.00 - 1525.00,1535.00 - 1580.00,94.00 - 139.00,1505.00,875.01,5326,1,0.283
*_,CMCX.L,CMC Markets Plc,Financial Services,Capital Markets,1.00,236.00 - 249.50,241.00 - 255.50,5.00 - 19.50,240.00,445.00,497091,4,0.734
@_,CMET.L,Capital Metals plc,Basic Materials,Other Industrial Metals & Mining,0.57,2.50 - 2.78,2.80 - 2.90,0.30 - 0.40,2.75,2308.11,404782,4,0.126
@_,CML.L,CML Microsystems plc,Technology,Semiconductors,0.71,250.00 - 308.60,260.00 - 317.25,10.00 - 67.25,310.00,2320.18,27374,2,0.486
@_,CMRS.L,Critical Mineral Resources PLC,Basic Materials,Other Precious Metals & Mining,0.25,1.10 - 1.15,1.19 - 1.30,0.09 - 0.20,1.15,1922.02,438168,4,1.321
*_,CNA.L,Centrica plc,Utilities,Utilities Independent Power Producers,1.50,156.35 - 157.45,158.15 - 159.85,1.80 - 3.50,154.60,130.20,14393861,8,0.63
@_,CNC.L,Concurrent Technologies Plc,Technology,Computer Hardware,2.50,195.00 - 198.30,201.64 - 201.92,6.64 - 6.92,197.50,256.50,153485,3,0.844
@_,CNE.L,Capricorn Energy PLC,Energy,Oil & Gas E&P,1.00,220.41 - 226.00,227.00 - 230.00,6.59 - 9.59,228.50,489.94,39986,2,0.675
@_,CNS.L,Corero Network Security plc,Technology,Software Infrastructure,0.40,14.00 - 14.52,14.79 - 15.50,0.79 - 1.50,15.25,1215.35,112499,3,-0.395
*_,CNSL.L,Cambridge Nutritional Sciences plc,Healthcare,Medical Instruments & Supplies,0.12,3.61 - 4.06,3.85 - 4.33,0.24 - 0.72,3.85,2605.59,344947,4,1.505
@_,COA.L,Coats Group plc,Consumer Cyclical,Textile Manufacturing,0.80,78.10 - 81.20,79.40 - 83.00,1.30 - 4.90,81.70,406.80,2253648,6,1.17
@_,COBR.L,Cobra Resources plc,Basic Materials,Other Precious Metals & Mining,0.40,1.99 - 2.23,2.05 - 2.35,0.06 - 0.36,2.30,2484.21,4654843,6,-0.036
@_,COD.L,Compagnie de Saint-Gobain S.A.,Industrials,Building Products & Equipment,2.00,96.74 - 97.79,98.20 - 101.40,1.46 - 4.66,100.10,258.57,257012,4,1.197
*_,CODE.L,Northcoders Group PLC,Consumer Defensive,Education & Training Services,0.00,36.35 - 49.60,40.00 - 50.50,3.65 - 14.15,36.50,789.02,61392,3,-0.643
@_,COG.L,Cambridge Cognition Holdings Plc,Healthcare,Health Information Services,1.75,31.25 - 31.44,32.00 - 34.00,0.75 - 2.75,32.50,905.62,13806,2,0.439
@_,CORA.L,Cora Gold Limited,Basic Materials,Gold,0.00,6.00 - 6.21,6.25 - 7.00,0.25 - 1.00,6.50,2777.50,56803,3,0.172
*_,CORO.L,Coro Energy plc,Energy,Oil & Gas E&P,1.00,0.82 - 0.86,0.88 - 0.90,0.05 - 0.07,0.82,834.30,600544,5,0.957
@_,COST.L,Costain Group PLC,Industrials,Engineering & Construction,1.67,142.20 - 146.60,146.40 - 148.20,4.20 - 6.00,149.20,312.92,1100200,6,1.719
@_,CPAI.L,capAI Plc,Real Estate,Real Estate Diversified,1.50,0.36 - 0.38,0.45 - 0.51,0.09 - 0.15,0.45,2993.69,80918122,9,-0.343
@_,CPG.L,Compass Group PLC,Consumer Cyclical,Restaurants,2.00,2473.00 - 2481.00,2508.00 - 2519.00,35.00 - 46.00,2516.00,146.00,2104637,6,0.64
*_,CPH2.L,Clean Power Hydrogen plc,Industrials,Specialty Industrial Machinery,0.00,5.30 - 5.30,5.38 - 5.40,0.08 - 0.10,5.15,358.34,394818,4,0.246
@_,CPI.L,Capita plc,Industrials,Specialty Business Services,0.50,333.00 - 346.03,340.24 - 351.00,7.24 - 18.00,346.00,462.66,519968,5,1.391
@_,CPP.L,CPPGroup Plc,Industrials,Specialty Business Services,0.75,105.00 - 110.50,108.20 - 115.00,3.20 - 10.00,115.00,858.50,7496,1,1.126
*_,CPX.L,CAP-XX Limited,Technology,Electronic Components,0.50,0.27 - 0.27,0.29 - 0.31,0.02 - 0.04,0.25,1105.68,118212250,10,2.148
@_,CRCL.L,Corcel Plc,Energy,Oil & Gas E&P,7.00,0.31 - 0.31,0.38 - 0.38,0.07 - 0.07,0.38,1129.03,26488544,8,0.385
*_,CRDA.L,Croda International Plc,Basic Materials,Specialty Chemicals,0.67,2942.00 - 2993.00,3029.61 - 3061.00,87.61 - 119.00,2964.00,231.76,315107,4,0.774
@_,CRDL.L,Cordel Group Plc,Technology,Software Application,0.00,6.95 - 7.05,7.25 - 7.50,0.30 - 0.55,7.25,1300.57,137097,3,0.925
*_,CRE.L,Conduit Holdings Limited,Financial Services,Insurance Reinsurance,1.00,371.50 - 371.50,376.00 - 377.00,4.50 - 5.50,367.00,130.00,444631,4,0.532
*_,CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices,1.00,12.44 - 13.06,12.72 - 13.47,0.27 - 1.02,12.88,710.63,340880,4,0.545
@_,CRL.L,Creightons Plc,Consumer Defensive,Household & Personal Products,1.00,36.26 - 37.11,37.70 - 38.40,1.44 - 2.14,37.00,575.64,86836,3,0.64
@_,CRN.L,Cairn Homes plc,Consumer Cyclical,Residential Construction,1.50,178.20 - 184.60,180.60 - 190.64,2.40 - 12.44,188.53,490.32,283539,4,0.69
@_,CRPR.L,James Cropper PLC,Basic Materials,Paper & Paper Products,0.75,211.60 - 216.25,220.00 - 220.00,8.40 - 8.40,220.00,484.84,8622,1,0.322
@_,CRS.L,Crystal Amber Ord,Financial Services,Asset Management,6.00,149.00 - 149.00,153.00 - 153.00,4.00 - 4.00,153.00,132.00,UNKNOWN,0,UNKNOWN
@_,CRST.L,Crest Nicholson Holdings plc,Consumer Cyclical,Residential Construction,1.50,180.70 - 182.60,183.95 - 187.90,3.25 - 7.20,186.20,420.93,358988,4,1.585
@_,CRTA.L,Cirata plc,Technology,Software Application,0.00,25.55 - 26.87,27.90 - 28.50,2.35 - 2.95,27.65,1103.57,166954,3,1.375
@_,CRTX.L,CRISM Therapeutics Corporation,Healthcare,Biotechnology,0.00,10.00 - 10.77,11.20 - 11.45,1.20 - 1.45,11.25,1358.27,147696,3,0.27
@_,CRU.L,Coral Products PLC,Consumer Cyclical,Packaging & Containers,0.75,7.63 - 10.20,10.00 - 10.50,2.37 - 2.87,10.00,2342.81,206024,4,0.5
@_,CRW.L,Craneware plc,Healthcare,Health Information Services,0.71,2180.00 - 2240.50,2230.00 - 2270.00,50.00 - 90.00,2225.00,571.80,85094,3,0.338
@_,CSC.L,Chesterfield Special Cylinders Holdings Plc,Energy,Oil & Gas Equipment & Services,0.00,34.00 - 34.00,35.26 - 35.26,1.26 - 1.26,35.00,185.22,14653,2,1.468
*_,CSN.L,Chesnara plc,Financial Services,Insurance Life,1.50,256.00 - 289.00,265.43 - 292.50,9.43 - 36.50,257.50,238.67,735224,5,0.439
@_,CSSG.L,Croma Security Solutions Group plc,Industrials,Security & Protection Services,0.00,79.00 - 79.20,80.00 - 81.00,1.00 - 2.00,80.00,363.51,9886,1,0.533
@_,CTA.L,CT Automotive Group plc,Consumer Cyclical,Auto Parts,0.00,39.00 - 40.50,40.90 - 41.00,1.90 - 2.00,40.00,666.60,44464,2,0.4
*_,CTAI.L,Catenai PLC,Technology,Software Infrastructure,0.60,0.31 - 0.33,0.33 - 0.35,0.01 - 0.04,0.29,1397.55,26316850,8,0.517
@_,CTEC.L,ConvaTec Group PLC,Healthcare,Medical Instruments & Supplies,0.67,254.60 - 262.46,264.24 - 265.80,9.64 - 11.20,260.40,345.42,8801407,7,0.714
@_,CTG.L,Christie Group plc,Industrials,Specialty Business Services,1.25,107.50 - 115.00,119.00 - 119.00,11.50 - 11.50,110.00,1045.00,3350,1,0.539
@_,CTL.L,CleanTech Lithium Plc,Basic Materials,Other Industrial Metals & Mining,0.00,5.50 - 5.71,5.90 - 6.50,0.40 - 1.00,6.00,5255.27,315518,4,-0.591
@_,CTPE.L,CT Private Equity Trust Ord,Financial Services,Asset Management,1.00,470.00 - 470.00,490.00 - 490.00,20.00 - 20.00,490.00,200.00,50394,3,UNKNOWN
@_,CTUK.L,CT UK Capital and Income Ord,Financial Services,Asset Management,6.00,332.00 - 332.00,337.00 - 337.00,5.00 - 5.00,335.50,75.00,113198,3,UNKNOWN
@_,CTY.L,City of London Ord,UNKNOWN,UNKNOWN,3.00,485.50 - 485.50,493.50 - 493.50,8.00 - 8.00,492.00,80.00,733150,5,UNKNOWN
*_,CURY.L,Currys plc,Consumer Cyclical,Specialty Retail,0.67,116.40 - 118.30,117.80 - 127.90,1.40 - 11.50,118.00,541.80,3470769,6,1.112
@_,CUSN.L,Cornish Metals Inc.,Basic Materials,Other Industrial Metals & Mining,0.20,8.00 - 8.25,8.34 - 8.50,0.34 - 0.50,8.25,789.70,410239,4,0.681
*_,CVSG.L,CVS Group plc,Consumer Cyclical,Personal Services,1.00,1210.00 - 1224.00,1227.00 - 1246.32,17.00 - 36.32,1198.00,157.28,198422,3,1.064
*_,CWR.L,Ceres Power Holdings plc,Industrials,Electrical Equipment & Parts,0.50,85.70 - 99.95,89.95 - 106.75,4.25 - 21.05,99.50,1638.41,1126917,6,1.844
@_,CYAN.L,CyanConnode Holdings plc,Technology,Communication Equipment,0.00,7.75 - 7.90,8.12 - 8.20,0.38 - 0.45,8.12,1179.27,308497,4,1.223
@_,CYK.L,Cykel AI Development Limited,Technology,Software Infrastructure,0.00,2.28 - 2.35,2.38 - 2.43,0.11 - 0.16,2.33,1322.95,4971814,6,UNKNOWN
@_,DAL.L,Dalata Hotel Group plc,Consumer Cyclical,Lodging,5.00,505.00 - 537.50,570.00 - 575.00,65.00 - 70.00,552.50,922.50,117819,3,1.343
*_,DAR.L,Dar Global PLC,Real Estate,Real Estate Development,0.00,9.90 - 9.90,10.90 - 10.90,1.00 - 1.00,7.15,505.00,2620,1,0.007
*_,DATA.L,GlobalData Plc,Industrials,Consulting Services,0.67,138.50 - 141.22,140.72 - 143.99,2.22 - 5.49,140.00,229.37,2305758,6,0.399
@_,DBOX.L,Digitalbox plc,Communication Services,Internet Content & Information,2.00,3.81 - 3.81,4.20 - 4.20,0.39 - 0.39,4.05,511.68,107815,3,-0.065
*_,DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing,0.50,4744.00 - 4752.00,4800.00 - 4861.40,56.00 - 117.40,4734.00,165.40,319894,4,0.664
@_,DCTA.L,Directa Plus Plc,Basic Materials,Specialty Chemicals,0.12,12.00 - 13.00,12.56 - 14.00,0.56 - 2.00,13.00,3612.61,35509,2,0.664
*_,DEBS.L,boohoo group plc,Consumer Cyclical,Internet Retail,0.00,20.10 - 20.53,20.50 - 20.84,0.40 - 0.74,19.76,268.29,1722306,6,1.361
@_,DEC.L,Diversified Energy Company PLC,Energy,Oil & Gas Integrated,2.33,1047.00 - 1068.00,1066.00 - 1089.00,19.00 - 42.00,1089.00,222.56,111937,3,0.061
@_,DELT.L,Deltic Energy Plc,Energy,Oil & Gas E&P,0.22,6.00 - 6.68,6.62 - 7.50,0.62 - 1.50,7.00,3501.32,1528941,6,1.236
