I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
@_,BIRD.L,Blackbird plc,Technology,Software Application,0.50,2.65 - 2.75,2.78 - 2.90,0.13 - 0.25,2.85,2011.98,297149,4,0.68,8
@_,BIRG.L,Bank of Ireland Group plc,Financial Services,Banks Regional,0.50,12.86 - 13.08,13.21 - 13.28,0.35 - 0.41,13.24,487.79,345016,4,0.699,6
@_,BISI.L,Bisichi PLC,Energy,Thermal Coal,0.20,110.50 - 112.50,114.70 - 115.00,4.20 - 4.50,112.50,751.62,3269,1,-0.358,5
@_,BKG.L,The Berkeley Group Holdings plc,Consumer Cyclical,Residential Construction,0.00,3656.00 - 3660.00,3752.00 - 3764.00,96.00 - 108.00,3786.00,200.00,422053,4,1.154,2
*_,BKS.L,Beeks Financial Cloud Group plc,Technology,Software Infrastructure,0.00,222.50 - 222.50,228.00 - 228.00,5.50 - 5.50,207.50,121.00,159042,3,0.054,1
@_,BKY.L,Berkeley Energia Limited,Energy,Uranium,1.00,24.96 - 25.16,25.30 - 25.80,0.34 - 0.84,25.30,474.72,128827,3,1.735,4
@_,BLND.L,British Land Company PLC,Real Estate,REIT Diversified,1.33,341.80 - 342.00,346.20 - 347.20,4.40 - 5.40,347.60,204.40,2841600,6,1.403,3
*_,BLOE.L,Block Energy Plc,Energy,Oil & Gas E&P,0.00,0.80 - 0.86,0.88 - 0.95,0.07 - 0.15,0.82,4173.49,396664,4,0.134,8
*_,BLU.L,Blue Star Capital plc,Financial Services,Asset Management,0.17,15.00 - 16.55,15.50 - 17.24,0.50 - 2.24,14.25,2927.32,190635,3,2.16,12
@_,BME.L,B&M European Value Retail S.A.,Consumer Defensive,Discount Stores,0.88,224.50 - 236.40,227.00 - 239.00,2.50 - 14.50,240.60,454.70,3596608,6,0.899,8
@_,BMK.L,UNKNOWN,UNKNOWN,UNKNOWN,0.00,19.50 - 20.00,21.20 - 25.00,1.70 - 5.50,22.05,2453.20,116208,3,0.298,3
@_,BMS.L,Braemar Plc,Industrials,Marine Shipping,0.00,226.00 - 230.00,234.00 - 242.69,8.00 - 16.69,231.00,826.69,150925,3,0.83,5
@_,BMT.L,Braime Group PLC,Industrials,Industrial Distribution,0.00,800.00 - 800.00,980.00 - 980.00,180.00 - 180.00,900.00,1080.00,72,1,0.207,1
*_,BMV.L,Bluebird Mining Ventures Ltd,Basic Materials,Gold,0.06,1.05 - 1.33,1.15 - 1.40,0.10 - 0.36,1.28,6919.92,9306897,7,1.682,32
@_,BMY.L,Bloomsbury Publishing Plc,Communication Services,Publishing,0.60,475.50 - 487.30,480.98 - 493.00,5.48 - 17.50,494.00,341.70,166978,3,0.51,5
@_,BNC.L,Banco Santander  S.A.,Financial Services,Banks Diversified,1.00,699.00 - 699.25,717.00 - 717.00,18.00 - 18.00,721.00,250.25,2246217,6,1.297,2
@_,BNKR.L,Bankers Ord,Financial Services,Asset Management,0.50,122.60 - 123.06,123.89 - 124.60,1.29 - 2.00,124.00,113.20,1321221,6,UNKNOWN,2
@_,BNZL.L,Bunzl plc,Consumer Defensive,Food Distribution,1.17,2226.00 - 2358.00,2252.00 - 2392.00,26.00 - 166.00,2390.00,359.76,609854,5,0.287,6
*_,BOD.L,Botswana Diamonds plc,Basic Materials,Other Precious Metals & Mining,0.00,0.28 - 0.28,0.29 - 0.30,0.01 - 0.02,0.28,720.98,2187333,6,0.441,3
@_,BOKU.L,Boku  Inc.,Technology,Software Infrastructure,1.40,220.50 - 225.83,224.41 - 231.00,3.91 - 10.50,227.00,439.12,359911,4,0.013,5
@_,BOOM.L,Audioboom Group plc,Communication Services,Internet Content & Information,0.18,389.70 - 460.00,395.00 - 473.77,5.30 - 84.07,475.55,2581.96,241298,4,0.84,28
*_,BOOT.L,Henry Boot PLC,Real Estate,Real Estate Diversified,0.38,224.00 - 232.22,228.79 - 236.00,4.79 - 12.00,224.00,1009.28,141664,3,0.363,8
*_,BOR.L,Borders & Southern Petroleum plc,Energy,Oil & Gas E&P,0.00,10.16 - 12.00,10.60 - 12.30,0.44 - 2.14,9.90,4269.94,1908971,6,-0.904,24
@_,BOWL.L,Hollywood Bowl Group plc,Consumer Cyclical,Leisure,1.67,249.50 - 256.00,257.00 - 260.00,7.50 - 10.50,257.50,302.00,388809,4,0.852,3
@_,BOY.L,Bodycote plc,Industrials,Specialty Industrial Machinery,2.50,625.50 - 636.50,635.40 - 647.50,9.90 - 22.00,650.50,146.30,209920,4,1.033,2
@_,BP.L,BP p.l.c.,Energy,Oil & Gas Integrated,0.25,410.70 - 419.55,417.35 - 424.35,6.65 - 13.65,423.95,253.35,23536800,8,0.39,4
@_,BPM.L,B.P. Marsh & Partners PLC,Financial Services,Asset Management,0.00,692.00 - 692.00,699.90 - 699.90,7.90 - 7.90,695.00,55.30,36319,2,0.196,1
*_,BPT.L,Bridgepoint Group plc,Financial Services,Asset Management,0.60,339.40 - 348.20,344.80 - 363.00,5.40 - 23.60,341.00,636.30,780854,5,1.563,5
@_,BRAI.L,BlackRock American Income Trust Ord,Financial Services,Asset Management,0.17,198.20 - 203.47,202.00 - 206.00,3.80 - 7.80,203.50,462.07,82220,3,UNKNOWN,6
@_,BRBY.L,Burberry Group plc,Consumer Cyclical,Luxury Goods,0.88,1123.50 - 1209.00,1139.50 - 1226.20,16.00 - 102.70,1224.00,602.56,1560246,6,1.002,8
@_,BRCK.L,Brickability Group Plc,Industrials,Industrial Distribution,0.75,60.05 - 61.05,61.80 - 61.80,1.75 - 1.75,60.80,390.52,481113,4,0.907,4
@_,BREE.L,Breedon Group plc,Basic Materials,Building Materials,4.00,365.80 - 365.80,374.36 - 374.36,8.56 - 8.56,372.20,111.28,1183109,6,1.126,1
@_,BRES.L,Blencowe Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.20,4.00 - 4.09,4.10 - 4.40,0.10 - 0.40,4.20,4056.94,1146052,6,0.862,15
@_,BRFI.L,BlackRock Frontiers Ord,Financial Services,Asset Management,2.33,168.26 - 168.94,170.00 - 171.00,1.74 - 2.74,170.25,182.70,196250,3,UNKNOWN,3
@_,BRGE.L,BlackRock Greater Europe Ord,Financial Services,Asset Management,1.33,565.75 - 573.68,574.50 - 580.00,8.75 - 14.25,579.00,174.48,130383,3,UNKNOWN,3
@_,BRH.L,Braveheart Investment Group plc,Financial Services,Asset Management,0.00,2.10 - 2.10,2.20 - 2.20,0.10 - 0.10,2.20,237.60,20945,2,-0.865,1
@_,BRK.L,Brooks Macdonald Group plc,Financial Services,Asset Management,1.40,1765.00 - 1825.00,1810.00 - 1850.00,45.00 - 85.00,1830.00,370.30,21284,2,0.576,5
@_,BRLA.L,BlackRock Latin American Ord,Financial Services,Asset Management,0.75,352.33 - 360.70,360.00 - 364.68,7.67 - 12.35,358.50,323.68,33325,2,UNKNOWN,4
@_,BRSC.L,BlackRock Smaller Companies Ord,Financial Services,Asset Management,2.00,1316.00 - 1316.00,1334.00 - 1334.00,18.00 - 18.00,1326.00,54.00,112383,3,UNKNOWN,1
@_,BRWM.L,BlackRock World Mining Trust Ord,Financial Services,Asset Management,0.00,565.00 - 565.00,573.00 - 573.00,8.00 - 8.00,568.00,64.00,265830,4,UNKNOWN,1
*_,BSFA.L,BSF Enterprise Plc,Healthcare,Biotechnology,0.40,1.80 - 2.65,2.06 - 2.89,0.26 - 1.09,2.50,4933.42,562620,5,2.613,5
*_,BSIF.L,Bluefield Solar Income Fund,Financial Services,Asset Management,0.00,96.50 - 96.60,97.65 - 97.90,1.15 - 1.40,92.59,191.25,1057829,6,UNKNOWN,3
*_,BTC.L,London BTC Company Limited,Financial Services,Capital Markets,0.20,5.25 - 6.01,5.40 - 6.14,0.15 - 0.89,4.99,1577.71,609173,5,5.094,10
@_,BTRW.L,Barratt Redrow plc,Consumer Cyclical,Residential Construction,0.25,371.80 - 378.90,376.20 - 383.10,4.40 - 11.30,379.00,243.88,3854222,6,1.485,4
@_,BUR.L,Burford Capital Limited,Financial Services,Asset Management,0.40,982.50 - 1024.00,1010.00 - 1037.00,27.50 - 54.50,1035.47,448.10,184717,3,0.988,5
@_,BUT.L,Brunner Ord,UNKNOWN,UNKNOWN,0.83,1422.80 - 1443.90,1450.00 - 1470.00,27.20 - 47.20,1455.14,445.35,79967,3,UNKNOWN,6
@_,BVA.L,Banco Bilbao Vizcaya Argentaria  S.A.,Financial Services,Banks Diversified,0.00,15.77 - 16.25,15.95 - 16.75,0.18 - 0.97,16.44,375.51,3262774,6,1.413,5
@_,BVC.L,BATM Advanced Communications Ltd.,Healthcare,Medical Instruments & Supplies,0.30,14.53 - 15.00,15.18 - 15.95,0.65 - 1.42,15.48,2717.66,423865,4,0.669,10
@_,BVXP.L,Bioventix PLC,Healthcare,Biotechnology,0.43,2350.00 - 2456.00,2395.00 - 2500.00,45.00 - 150.00,2500.00,1222.10,9445,1,0.514,14
@_,BWY.L,Bellway p.l.c.,Consumer Cyclical,Residential Construction,1.33,2436.00 - 2459.00,2472.00 - 2484.00,36.00 - 48.00,2478.00,218.00,375025,4,1.278,3
@_,BXP.L,Beximco Pharmaceuticals Limited,Healthcare,Drug Manufacturers Specialty & Generic,1.25,47.50 - 49.00,48.40 - 51.97,0.90 - 4.47,50.00,682.44,50310,3,0.506,4
@_,BYG.L,Big Yellow Group Plc,Real Estate,REIT Industrial,1.00,909.00 - 925.00,921.00 - 936.20,12.00 - 27.20,935.00,251.00,216651,4,0.765,4
@_,BYIT.L,Bytes Technology Group plc,Technology,Software Infrastructure,0.56,351.20 - 396.40,360.80 - 402.60,9.60 - 51.40,402.28,809.46,1206523,6,0.763,9
@_,CABP.L,CAB Payments Holdings Limited,Financial Services,Banks Diversified,0.67,46.06 - 53.83,47.00 - 54.47,0.94 - 8.41,55.00,1393.94,703453,5,1.895,9
@_,CAD.L,Cadogan Energy Solutions PLC,Energy,Oil & Gas E&P,2.00,3.22 - 3.75,3.85 - 4.20,0.63 - 0.98,3.75,2600.21,55630,3,0.523,3
@_,CAML.L,Central Asia Metals plc,Basic Materials,Copper,0.50,158.60 - 164.71,161.40 - 167.20,2.80 - 8.60,166.00,668.76,311068,4,1.156,10
@_,CAN.L,Canal+ SA,Communication Services,Entertainment,0.00,234.00 - 240.80,236.90 - 243.30,2.90 - 9.30,242.50,236.50,573050,5,UNKNOWN,4
@_,CAPD.L,Capital Limited,Basic Materials,Other Industrial Metals & Mining,0.29,85.93 - 92.00,89.34 - 93.24,3.41 - 7.31,91.60,1492.16,198272,3,0.514,14
*_,CARD.L,Card Factory plc,Consumer Cyclical,Specialty Retail,0.83,104.47 - 107.56,106.00 - 108.76,1.53 - 4.29,106.20,383.94,770583,5,1.611,6
@_,CARR.L,Carr's Group plc,Consumer Defensive,Packaged Foods,0.18,140.00 - 145.00,144.50 - 151.50,4.50 - 11.50,149.50,2367.29,49482,2,0.701,11
@_,CAU.L,Centaur Media Plc,Communication Services,Advertising Agencies,1.00,31.00 - 32.50,33.08 - 34.00,2.08 - 3.00,32.50,963.28,776585,5,0.866,4
@_,CAV.L,Cavendish plc,Financial Services,Capital Markets,0.00,12.00 - 12.15,12.24 - 12.75,0.24 - 0.75,12.55,2050.64,235677,4,1.242,16
*_,CBG.L,Close Brothers Group plc,Financial Services,Banks Regional,0.00,531.60 - 531.60,539.50 - 539.50,7.90 - 7.90,501.00,71.10,617384,5,1.187,1
@_,CBOX.L,Cake Box Holdings Plc,Consumer Defensive,Grocery Stores,0.19,200.00 - 205.00,206.80 - 210.00,6.80 - 10.00,205.00,1941.44,59278,3,0.881,16
@_,CCC.L,Computacenter plc,Technology,Information Technology Services,0.00,2282.00 - 2386.00,2336.00 - 2430.00,54.00 - 148.00,2390.00,359.28,151312,3,0.624,5
*_,CCH.L,Coca-Cola HBC AG,Consumer Defensive,Beverages Non-Alcoholic,3.00,3842.00 - 3910.00,3930.00 - 4000.00,88.00 - 158.00,3896.00,178.00,590792,5,0.719,2
*_,CCJI.L,CC Japan Income & Growth Ord,UNKNOWN,UNKNOWN,0.17,204.55 - 208.00,209.18 - 211.00,4.63 - 6.45,204.00,1249.20,186273,3,UNKNOWN,12
@_,CCL.L,Carnival Corporation & plc,Consumer Cyclical,Travel Services,1.00,2015.76 - 2039.81,2044.00 - 2090.00,28.24 - 74.24,2089.00,214.92,455470,4,2.707,3
@_,CCP.L,Celtic plc,Communication Services,Entertainment,0.00,176.00 - 178.00,181.00 - 184.00,5.00 - 8.00,181.00,676.48,1341,1,0.05,4
*_,CCR.L,C&C Group plc,Consumer Defensive,Beverages Brewers,1.50,172.60 - 178.20,176.20 - 180.20,3.60 - 7.60,175.60,284.48,1102803,6,1.058,4
*_,CCT.L,The Character Group plc,Consumer Cyclical,Leisure,0.17,310.00 - 316.00,319.20 - 330.00,9.20 - 20.00,305.00,850.00,16382,2,0.413,6
*_,CDGP.L,Chapel Down Group Plc,Consumer Defensive,Beverages Wineries & Distilleries,0.50,40.00 - 41.65,41.50 - 43.86,1.50 - 3.86,41.00,1745.21,43162,2,1.058,12
@_,CDL.L,Cloudbreak Discovery Plc,Basic Materials,Other Industrial Metals & Mining,1.00,0.13 - 0.32,0.33 - 0.45,0.20 - 0.32,0.31,12465.69,52180315,9,0.364,2
@_,CEG.L,Challenger Energy Group PLC,Energy,Oil & Gas E&P,0.13,7.00 - 7.50,7.78 - 8.00,0.78 - 1.00,8.50,6051.35,165993,3,1.246,15
*_,CER.L,Cerillion Plc,Technology,Software Application,0.62,1420.00 - 1480.00,1450.00 - 1556.00,30.00 - 136.00,1433.00,979.65,30951,2,0.655,8
@_,CFX.L,Colefax Group PLC,Consumer Cyclical,Furnishings  Fixtures & Appliances,3.00,850.00 - 850.00,870.00 - 870.00,20.00 - 20.00,850.00,100.00,204,1,0.055,1
*_,CGEO.L,Georgia Capital PLC,Financial Services,Financial Conglomerates,0.00,2355.00 - 2390.00,2385.00 - 2435.00,30.00 - 80.00,2330.00,273.96,109428,3,0.857,4
@_,CGNR.L,Conroy Gold and Natural Resources plc,Basic Materials,Gold,0.00,5.00 - 5.13,5.90 - 5.90,0.90 - 0.90,5.75,1650.75,32549,2,1.157,2
@_,CGO.L,Contango Holdings plc,Energy,Thermal Coal,0.17,0.80 - 0.88,0.90 - 0.94,0.10 - 0.14,0.90,2014.47,616696,5,UNKNOWN,6
*_,CGS.L,Castings P.L.C.,Industrials,Specialty Industrial Machinery,0.50,270.90 - 278.00,276.11 - 289.00,5.21 - 18.10,259.50,906.66,8202,1,0.378,6
@_,CHAR.L,Chariot Limited,Energy,Oil & Gas E&P,0.33,1.30 - 1.38,1.39 - 1.56,0.09 - 0.25,1.42,6314.13,2569840,6,-0.713,15
@_,CHF.L,Chesterfield Resources plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.60 - 0.66,0.68 - 0.70,0.07 - 0.10,0.68,2220.23,904235,5,1.211,6
@_,CHG.L,Chemring Group PLC,Industrials,Aerospace & Defense,0.67,529.62 - 539.00,538.00 - 546.00,8.38 - 16.38,539.00,409.86,824934,5,0.621,6
*_,CHH.L,Churchill China plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,0.20,431.50 - 444.00,444.00 - 450.00,12.50 - 18.50,430.00,982.52,15873,2,0.7,10
@_,CHI.L,CT UK High Income Ord,Financial Services,Asset Management,0.14,103.00 - 104.00,104.19 - 106.60,1.19 - 3.60,105.50,640.32,44000,2,UNKNOWN,7
@_,CHLL.L,Chill Brands Group PLC,Healthcare,Drug Manufacturers Specialty & Generic,0.10,1.05 - 1.58,1.10 - 1.64,0.04 - 0.59,1.65,12436.76,6497092,7,0.805,30
*_,CHRT.L,Cohort plc,Industrials,Aerospace & Defense,0.33,1236.97 - 1293.00,1259.00 - 1318.00,22.03 - 81.03,1228.00,255.82,133424,3,0.191,3
*_,CHRY.L,Chrysalis Investments Limited Ord,UNKNOWN,UNKNOWN,0.00,121.79 - 124.65,125.32 - 126.00,3.53 - 4.21,122.00,253.13,1841322,6,UNKNOWN,3
@_,CHSS.L,World Chess PLC,Technology,Software Application,0.00,0.50 - 0.62,0.66 - 0.68,0.16 - 0.18,0.65,3646.24,2955058,6,1.697,3
@_,CIC.L,The Conygar Investment Company PLC,Real Estate,Real Estate Development,0.25,29.30 - 29.53,30.00 - 31.00,0.70 - 1.70,30.00,681.77,54467,3,0.317,4
@_,CIZ.L,Cizzle Biotechnology Holdings Plc,Healthcare,Biotechnology,0.36,1.39 - 1.47,1.49 - 1.75,0.10 - 0.36,1.50,5167.91,900408,5,0.633,11
*_,CKI.L,UNKNOWN,Utilities,Utilities Regulated Electric,0.25,491.00 - 508.00,502.00 - 522.00,11.00 - 31.00,494.00,510.00,7664,1,0.73,4
@_,CKN.L,Clarkson PLC,Industrials,Marine Shipping,1.00,3475.00 - 3490.00,3535.00 - 3545.00,60.00 - 70.00,3605.00,115.00,34170,2,1.156,2
*_,CKT.L,Checkit plc,Technology,Software Application,0.60,13.12 - 13.60,13.39 - 14.00,0.27 - 0.88,13.25,762.56,78035,3,0.469,5
*_,CLAI.L,Cel AI PLC,Consumer Defensive,Household & Personal Products,0.30,0.14 - 0.14,0.15 - 0.16,0.01 - 0.02,0.14,4302.86,41444886,8,0.446,10
@_,CLBS.L,Celebrus Technologies plc,Technology,Software Application,0.00,166.35 - 170.50,172.00 - 174.94,5.65 - 8.59,170.50,2672.49,38963,2,0.977,19
@_,CLCO.L,CloudCoCo Group plc,Technology,Software Infrastructure,0.27,0.26 - 0.28,0.30 - 0.32,0.04 - 0.06,0.28,8495.80,687656,5,-0.613,11
*_,CLDN.L,Caledonia Investments Ord,Financial Services,Asset Management,1.00,376.80 - 383.28,381.73 - 390.00,4.93 - 13.20,380.35,403.91,298442,4,UNKNOWN,5
@_,CLI.L,CLS Holdings plc,Real Estate,REIT Office,1.40,62.05 - 62.40,62.90 - 63.50,0.85 - 1.45,62.70,372.00,450580,4,0.877,5
@_,CLIG.L,City of London Investment Group Plc,Financial Services,Asset Management,0.18,366.00 - 384.60,370.75 - 389.00,4.75 - 23.00,390.00,1948.18,50147,3,0.229,22
*_,CLX.L,Calnex Solutions plc,Technology,Communication Equipment,0.00,47.90 - 54.00,49.17 - 56.00,1.26 - 8.10,53.61,1994.73,79393,3,1.675,14
@_,CMCL.L,Caledonia Mining Corporation Plc,Basic Materials,Gold,0.45,1600.00 - 1800.00,1647.50 - 1830.00,47.50 - 230.00,1820.00,1014.70,7667,1,0.215,11
@_,CMCX.L,CMC Markets Plc,Financial Services,Capital Markets,2.67,219.50 - 230.00,227.77 - 240.00,8.27 - 20.50,233.00,483.50,316774,4,0.715,3
@_,CMET.L,Capital Metals plc,Basic Materials,Other Industrial Metals & Mining,0.40,2.80 - 3.10,3.12 - 3.30,0.32 - 0.50,3.05,3904.98,407255,4,0.07,10
@_,CML.L,CML Microsystems plc,Technology,Semiconductors,0.14,281.33 - 284.23,285.00 - 296.80,3.67 - 15.47,285.00,943.67,12861,2,0.437,7
*_,CMRS.L,Critical Mineral Resources PLC,Basic Materials,Other Precious Metals & Mining,0.17,2.75 - 3.50,2.94 - 3.60,0.19 - 0.85,2.80,4549.89,2207770,6,1.257,18
*_,CNA.L,Centrica plc,Utilities,Utilities Independent Power Producers,0.00,162.75 - 167.45,164.45 - 169.37,1.70 - 6.62,165.35,220.08,16962541,8,0.6,4
*_,CNC.L,Concurrent Technologies Plc,Technology,Computer Hardware,0.00,186.40 - 190.48,189.89 - 193.00,3.49 - 6.60,178.00,427.96,302494,4,0.853,5
@_,CNE.L,Capricorn Energy PLC,Energy,Oil & Gas E&P,0.33,200.10 - 215.45,210.00 - 220.00,9.90 - 19.90,214.00,710.25,61666,3,0.662,6
*_,CNS.L,Corero Network Security plc,Technology,Software Infrastructure,0.56,9.75 - 10.02,10.15 - 10.50,0.40 - 0.75,10.00,2508.38,115570,3,-0.36,9
@_,CNSL.L,Cambridge Nutritional Sciences plc,Healthcare,Medical Instruments & Supplies,0.00,3.06 - 3.14,3.25 - 3.47,0.19 - 0.42,3.25,3335.05,337473,4,1.468,9
@_,COA.L,Coats Group plc,Consumer Cyclical,Textile Manufacturing,1.00,73.47 - 76.82,74.40 - 78.00,0.93 - 4.53,77.70,437.57,5113542,7,1.18,7
*_,COBR.L,Cobra Resources plc,Basic Materials,Other Precious Metals & Mining,0.14,3.51 - 3.77,3.78 - 3.88,0.27 - 0.38,3.55,2354.64,3851210,6,-0.112,14
*_,COD.L,Compagnie de Saint-Gobain S.A.,Industrials,Building Products & Equipment,1.00,98.06 - 99.60,99.30 - 100.75,1.24 - 2.69,98.28,279.50,167294,3,1.2,5
*_,CODE.L,Northcoders Group PLC,Consumer Defensive,Education & Training Services,0.00,32.00 - 36.00,32.90 - 38.00,0.90 - 6.00,33.00,416.40,18719,2,-0.636,2
@_,COG.L,Cambridge Cognition Holdings Plc,Healthcare,Health Information Services,0.67,24.25 - 25.25,26.00 - 26.30,1.75 - 2.05,26.00,1463.46,18963,2,0.479,6
@_,CORA.L,Cora Gold Limited,Basic Materials,Gold,0.15,6.25 - 6.62,6.65 - 7.00,0.40 - 0.75,6.88,4357.71,90896,3,0.109,13
@_,CORO.L,Coro Energy plc,Energy,Oil & Gas E&P,0.00,0.42 - 0.45,0.47 - 0.55,0.05 - 0.13,0.50,4819.06,1209156,6,1.004,7
*_,COST.L,Costain Group PLC,Industrials,Engineering & Construction,0.00,158.40 - 162.00,163.70 - 164.20,5.30 - 5.80,128.30,230.30,2744592,6,1.738,2
*_,CPAI.L,capAI Plc,Real Estate,Real Estate Diversified,0.46,0.48 - 0.57,0.57 - 0.64,0.09 - 0.16,0.52,3752.56,62297602,9,-0.298,13
@_,CPG.L,Compass Group PLC,Consumer Cyclical,Restaurants,3.00,2548.00 - 2583.00,2598.00 - 2637.00,50.00 - 89.00,2618.00,104.00,1294106,6,0.628,2
*_,CPH2.L,Clean Power Hydrogen plc,Industrials,Specialty Industrial Machinery,0.00,5.10 - 5.23,5.20 - 5.30,0.10 - 0.20,5.10,984.76,306393,4,0.256,11
*_,CPI.L,Capita plc,Industrials,Specialty Business Services,0.25,229.50 - 236.00,232.00 - 240.50,2.50 - 11.00,235.53,308.28,401626,4,1.479,4
*_,CPP.L,CPPGroup Plc,Industrials,Specialty Business Services,0.50,122.65 - 125.50,133.57 - 135.00,10.92 - 12.35,118.50,807.30,12236,2,1.109,2
*_,CPX.L,CAP-XX Limited,Technology,Electronic Components,0.00,0.42 - 0.44,0.44 - 0.45,0.01 - 0.03,0.41,2315.93,57214441,9,2.126,14
*_,CRCL.L,Corcel Plc,Energy,Oil & Gas E&P,7.00,0.38 - 0.38,0.39 - 0.39,0.00 - 0.00,0.37,129.87,8844958,7,0.357,1
@_,CRDA.L,Croda International Plc,Basic Materials,Specialty Chemicals,0.60,2453.00 - 2513.00,2481.00 - 2571.00,28.00 - 118.00,2560.00,388.00,513099,5,0.773,5
*_,CRDL.L,Cordel Group Plc,Technology,Software Application,0.00,6.01 - 6.60,6.50 - 7.00,0.49 - 0.99,6.25,4228.07,225198,4,0.882,10
*_,CRE.L,Conduit Holdings Limited,Financial Services,Insurance Reinsurance,1.60,284.50 - 301.50,292.00 - 305.50,7.50 - 21.00,297.50,408.50,879305,5,0.566,5
@_,CREI.L,Custodian Property Income REIT Ord,Real Estate,REIT Diversified,0.80,77.40 - 77.82,78.40 - 81.50,1.00 - 4.10,78.43,723.84,751852,5,UNKNOWN,5
*_,CREO.L,Creo Medical Group PLC,Healthcare,Medical Devices,0.00,12.75 - 14.00,13.40 - 14.50,0.65 - 1.75,13.75,1893.14,278385,4,0.535,12
@_,CRL.L,Creightons Plc,Consumer Defensive,Household & Personal Products,0.00,32.00 - 32.55,33.00 - 34.00,1.00 - 2.00,33.00,3707.61,74413,3,0.656,20
@_,CRN.L,Cairn Homes plc,Consumer Cyclical,Residential Construction,1.20,187.40 - 190.51,190.20 - 193.80,2.80 - 6.40,192.20,413.14,422036,4,0.694,5
*_,CRPR.L,James Cropper PLC,Basic Materials,Paper & Paper Products,0.80,232.00 - 251.20,240.00 - 260.00,8.00 - 28.00,240.00,812.15,6985,1,0.286,5
@_,CRS.L,Crystal Amber Ord,Financial Services,Asset Management,0.00,145.00 - 152.17,155.00 - 155.00,10.00 - 10.00,155.00,815.34,25969,2,UNKNOWN,5
*_,CRST.L,Crest Nicholson Holdings plc,Consumer Cyclical,Residential Construction,0.00,178.80 - 180.90,181.20 - 182.80,2.40 - 4.00,170.40,199.80,763446,5,1.594,3
*_,CRTA.L,Cirata plc,Technology,Software Application,0.00,16.75 - 19.10,17.56 - 20.00,0.81 - 3.25,17.98,1740.17,106056,3,1.435,9
@_,CRTM.L,Critical Metals Plc,Basic Materials,Other Industrial Metals & Mining,0.45,3.30 - 4.03,3.40 - 4.20,0.10 - 0.90,4.20,2890.17,457254,4,1.803,11
@_,CRTX.L,CRISM Therapeutics Corporation,Healthcare,Biotechnology,0.00,10.00 - 10.24,10.25 - 11.00,0.25 - 1.00,10.50,1661.72,57895,3,0.17,9
*_,CRU.L,Coral Products PLC,Consumer Cyclical,Packaging & Containers,0.57,9.00 - 10.50,9.90 - 11.00,0.90 - 2.00,10.00,1510.53,148679,3,0.444,7
*_,CRW.L,Craneware plc,Healthcare,Health Information Services,0.50,2240.00 - 2256.00,2270.00 - 2300.00,30.00 - 60.00,2200.00,868.12,42679,2,0.341,10
@_,CSC.L,Chesterfield Special Cylinders Holdings Plc,Energy,Oil & Gas Equipment & Services,1.00,31.40 - 31.40,34.00 - 34.00,2.60 - 2.60,32.50,413.40,22513,2,1.482,1
@_,CSN.L,Chesnara plc,Financial Services,Insurance Life,0.60,286.96 - 294.00,290.00 - 297.06,3.04 - 10.10,294.00,256.70,1043399,6,0.466,5
@_,CSSG.L,Croma Security Solutions Group plc,Industrials,Security & Protection Services,1.50,76.00 - 77.00,77.50 - 78.50,1.50 - 2.50,77.50,193.50,10489,2,0.528,2
*_,CTA.L,CT Automotive Group plc,Consumer Cyclical,Auto Parts,0.83,38.61 - 39.40,39.88 - 40.30,1.27 - 1.69,39.00,847.25,86391,3,0.468,6
@_,CTAI.L,Catenai PLC,Technology,Software Infrastructure,0.75,0.25 - 0.26,0.28 - 0.30,0.04 - 0.05,0.28,3003.09,10156759,8,0.516,4
@_,CTEC.L,ConvaTec Group PLC,Healthcare,Medical Instruments & Supplies,1.50,228.30 - 230.20,231.00 - 248.41,2.70 - 20.11,243.60,549.99,9034574,7,0.741,4
@_,CTG.L,Christie Group plc,Industrials,Specialty Business Services,1.33,102.00 - 110.00,114.45 - 115.00,12.45 - 13.00,115.00,1181.70,7916,1,0.538,3
*_,CTL.L,CleanTech Lithium Plc,Basic Materials,Other Industrial Metals & Mining,0.13,5.30 - 5.55,5.69 - 5.80,0.39 - 0.50,5.25,4043.70,856136,5,-0.698,15
@_,CTPE.L,CT Private Equity Trust Ord,Financial Services,Asset Management,1.50,470.00 - 475.81,476.00 - 487.82,6.00 - 17.82,477.00,302.80,114817,3,UNKNOWN,4
@_,CTUK.L,CT UK Capital and Income Ord,Financial Services,Asset Management,0.80,334.00 - 337.22,338.35 - 342.00,4.35 - 8.00,343.00,353.64,76561,3,UNKNOWN,5
@_,CTY.L,City of London Ord,Financial Services,Asset Management,4.00,499.89 - 504.30,508.00 - 510.12,8.11 - 10.23,510.00,133.48,944530,5,UNKNOWN,2
*_,CURY.L,Currys plc,Consumer Cyclical,Specialty Retail,0.00,111.60 - 113.00,113.40 - 114.20,1.80 - 2.60,111.40,132.00,1935674,6,1.145,2
