I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
@_,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,0.67,7.57 - 7.62,7.66 - 7.73,0.09 - 0.15,7.68,197.16,6331170,7,0.435,3
@_,TU,TELUS Corporation,Communication Services,Telecom Services,2.00,16.03 - 16.28,16.32 - 16.57,0.28 - 0.53,16.56,179.22,2480940,6,0.89,2
@_,ATO,Atmos Energy Corporation,Utilities,Utilities Regulated Gas,1.50,164.38 - 164.45,167.00 - 167.26,2.62 - 2.88,166.79,162.90,903840,5,0.683,2
*_,SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,0.00,43.21 - 44.38,43.97 - 45.12,0.76 - 1.91,43.68,299.59,4376890,6,1.029,4
*_,CNP,CenterPoint Energy  Inc.,Utilities,Utilities Regulated Electric,3.00,38.03 - 38.04,38.44 - 38.66,0.42 - 0.63,38.01,134.93,3988330,6,0.572,2
@_,FTS,Fortis Inc.,Utilities,Utilities Regulated Electric,1.50,49.90 - 50.31,50.88 - 50.90,0.98 - 1.00,50.77,156.43,579370,5,0.319,2
@_,NTRS,Northern Trust Corporation,Financial Services,Asset Management,0.75,126.03 - 127.26,127.39 - 128.59,1.36 - 2.56,127.30,230.49,982320,5,1.299,4
@_,PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,1.67,26.84 - 27.40,27.34 - 27.79,0.50 - 0.95,27.44,239.83,806140,5,0.79,3
*_,SHG,Shinhan Financial Group Co.  Ltd.,Financial Services,Banks Regional,0.00,50.26 - 50.26,51.00 - 51.00,0.74 - 0.74,48.07,73.26,127910,3,0.605,1
@_,ES,Eversource Energy,Utilities,Utilities Regulated Electric,1.00,64.68 - 64.68,67.06 - 67.06,2.38 - 2.38,65.41,183.26,1864280,6,0.619,1
@_,HBAN,Huntington Bancshares Incorporated,Financial Services,Banks Regional,0.20,16.36 - 16.53,16.63 - 16.82,0.27 - 0.45,16.67,414.87,22927810,8,0.958,5
@_,PTC,PTC Inc.,Technology,Software Application,1.20,203.11 - 209.24,205.77 - 212.23,2.66 - 9.12,211.95,321.73,792590,5,1.177,5
*_,FOX,Fox Corporation,Communication Services,Entertainment,0.00,50.12 - 54.26,50.69 - 54.81,0.57 - 4.69,53.98,538.62,788950,5,0.546,9
*_,EXPE,Expedia Group  Inc.,Consumer Cyclical,Travel Services,0.00,193.76 - 208.00,196.51 - 210.25,2.75 - 16.49,205.23,486.79,2383570,6,1.613,8
*_,TYL,Tyler Technologies  Inc.,Technology,Software Application,0.00,566.00 - 572.62,572.82 - 580.35,6.82 - 14.35,566.42,166.96,275370,4,0.851,3
*_,HPQ,HP Inc.,Technology,Computer Hardware,0.75,26.20 - 26.93,26.66 - 27.32,0.46 - 1.11,26.58,344.70,7308450,7,1.309,4
*_,WDC,Western Digital Corporation,Technology,Computer Hardware,1.00,74.60 - 75.46,76.32 - 76.53,1.72 - 1.93,74.62,261.20,5609220,7,1.642,3
@_,CHKP,Check Point Software Technologies Ltd.,Technology,Software Infrastructure,0.75,179.12 - 186.65,181.07 - 189.49,1.95 - 10.37,188.41,351.46,882100,5,0.587,4
@_,CHD,Church & Dwight Co.  Inc.,Consumer Defensive,Household & Personal Products,2.33,91.48 - 94.06,93.33 - 95.72,1.85 - 4.24,94.96,244.06,2043890,6,0.425,3
@_,FE,FirstEnergy Corp.,Utilities,Utilities Regulated Electric,0.50,42.81 - 43.31,43.90 - 43.90,1.09 - 1.10,43.49,194.29,3249680,6,0.46,2
*_,DLTR,Dollar Tree  Inc.,Consumer Defensive,Discount Stores,0.00,114.02 - 115.07,115.41 - 116.69,1.39 - 2.67,112.59,129.43,3090370,6,0.884,2
*_,CDW,CDW Corporation,Technology,Information Technology Services,0.50,160.79 - 166.32,162.76 - 168.44,1.97 - 7.65,164.22,340.97,1113020,6,0.94,6
@_,NOK,Nokia Oyj,Technology,Communication Equipment,0.67,4.14 - 4.18,4.22 - 4.28,0.08 - 0.14,4.24,312.68,15918020,8,0.617,3
*_,SOFI,SoFi Technologies  Inc.,Financial Services,Credit Services,0.50,23.14 - 23.90,23.63 - 24.22,0.49 - 1.08,23.33,517.84,59914500,9,1.938,6
*_,DRI,Darden Restaurants  Inc.,Consumer Cyclical,Restaurants,0.40,203.63 - 208.33,206.87 - 211.13,3.24 - 7.50,206.58,332.88,923080,5,0.746,5
*_,DG,Dollar General Corporation,Consumer Defensive,Discount Stores,2.00,112.51 - 112.58,115.72 - 115.82,3.21 - 3.31,112.49,283.80,2667360,6,0.312,2
@_,EXE,Expand Energy Corporation,Energy,Oil & Gas E&P,0.33,92.56 - 92.85,94.25 - 95.05,1.69 - 2.49,95.45,303.70,3538220,6,0.45,3
*_,TROW,T. Rowe Price Group  Inc.,Financial Services,Asset Management,0.00,106.38 - 108.66,107.59 - 110.10,1.21 - 3.72,104.49,187.05,1102110,6,1.49,3
@_,GDDY,GoDaddy Inc.,Technology,Software Infrastructure,0.60,136.81 - 144.28,140.93 - 147.54,4.12 - 10.73,146.00,519.51,2796790,6,1.08,5
@_,STM,STMicroelectronics N.V.,Technology,Semiconductors,0.00,25.27 - 25.81,25.86 - 26.35,0.59 - 1.08,25.88,220.45,6252780,7,1.268,2
@_,RF,Regions Financial Corporation,Financial Services,Banks Regional,0.00,24.83 - 25.52,25.09 - 25.97,0.25 - 1.13,25.73,347.44,15236690,8,1.022,5
@_,CPAY,Corpay  Inc.,Technology,Software Infrastructure,0.83,305.30 - 318.43,310.10 - 322.38,4.80 - 17.08,317.66,355.52,499530,4,0.961,6
@_,BEKE,KE Holdings Inc.,Real Estate,Real Estate Services,0.50,17.60 - 18.33,18.36 - 18.60,0.76 - 1.00,18.33,429.80,4921680,6,-0.747,4
*_,JBL,Jabil Inc.,Technology,Electronic Components,0.00,215.27 - 228.53,218.27 - 231.57,3.00 - 16.30,205.02,243.94,1415560,6,1.2,4
*_,HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,0.20,422.34 - 439.07,429.67 - 444.08,7.33 - 21.74,427.71,316.47,413778,4,0.979,5
*_,LII,Lennox International Inc.,Industrials,Building Products & Equipment,0.71,580.41 - 607.10,588.12 - 613.50,7.72 - 33.09,570.42,439.28,366400,4,1.106,7
@_,FUTU,Futu Holdings Limited,Financial Services,Capital Markets,0.44,162.71 - 179.76,164.92 - 182.70,2.21 - 19.99,180.38,932.72,2547760,6,0.492,9
*_,ON,ON Semiconductor Corporation,Technology,Semiconductors,0.00,48.42 - 51.42,50.62 - 52.00,2.19 - 3.58,48.79,553.79,7847800,7,1.449,7
*_,CINF,Cincinnati Financial Corporation,Financial Services,Insurance Property & Casualty,0.33,149.82 - 153.05,152.00 - 155.18,2.18 - 5.36,152.96,212.74,489190,4,0.71,3
*_,ULTA,Ulta Beauty  Inc.,Consumer Cyclical,Specialty Retail,0.00,506.21 - 526.93,513.34 - 532.57,7.13 - 26.36,520.31,322.20,566580,5,1.121,5
*_,RKLB,Rocket Lab Corporation,Industrials,Aerospace & Defense,0.20,42.53 - 46.37,43.18 - 46.92,0.65 - 4.39,41.54,862.72,21271220,8,2.179,10
*_,ASX,ASE Technology Holding Co.  Ltd.,Technology,Semiconductors,1.50,9.86 - 9.96,10.11 - 10.12,0.25 - 0.26,9.61,207.12,6576180,7,0.908,2
*_,PHM,PulteGroup  Inc.,Consumer Cyclical,Residential Construction,0.40,119.86 - 129.29,121.08 - 131.01,1.22 - 11.15,125.35,626.49,1996140,6,1.234,10
@_,ZM,Zoom Communications Inc.,Technology,Software Application,0.43,69.40 - 73.08,70.56 - 73.97,1.15 - 4.57,73.23,430.59,3182600,6,0.681,7
@_,GIB,CGI Inc.,Technology,Information Technology Services,2.00,93.36 - 93.60,95.38 - 95.47,2.02 - 2.11,94.84,206.17,368300,4,0.598,2
@_,BCE,BCE Inc.,Communication Services,Telecom Services,1.33,24.68 - 25.41,25.19 - 26.00,0.51 - 1.32,25.72,318.16,3451550,6,0.654,3
*_,TPR,Tapestry  Inc.,Consumer Cyclical,Luxury Goods,0.00,94.28 - 110.95,96.93 - 113.89,2.66 - 19.61,98.38,644.87,5300160,7,1.531,5
*_,CG,The Carlyle Group Inc.,Financial Services,Asset Management,0.00,63.18 - 64.66,64.37 - 65.88,1.19 - 2.70,62.31,239.43,2654330,6,1.888,3
*_,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,0.33,8.58 - 9.73,8.76 - 9.94,0.18 - 1.36,8.65,275.96,34696410,8,0.735,3
@_,LH,Labcorp Holdings Inc.,Healthcare,Diagnostics & Research,1.60,267.73 - 276.05,271.21 - 278.90,3.48 - 11.17,276.69,301.86,524850,5,0.757,5
@_,STE,STERIS plc,Healthcare,Medical Devices,1.50,242.50 - 245.60,245.14 - 249.88,2.64 - 7.38,247.55,269.60,451550,4,0.922,4
*_,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,0.11,850.28 - 915.61,860.96 - 926.31,10.68 - 76.03,879.59,558.80,141110,3,1.145,9
*_,WSM,Williams-Sonoma  Inc.,Consumer Cyclical,Specialty Retail,0.75,202.81 - 207.03,205.10 - 209.17,2.29 - 6.36,197.11,273.60,1298390,6,1.473,4
@_,GFI,Gold Fields Limited,Basic Materials,Gold,6.00,29.72 - 29.72,30.70 - 30.70,0.99 - 0.99,30.23,164.64,2541890,6,0.288,1
*_,GRAB,Grab Holdings Limited,Technology,Software Application,0.80,4.91 - 5.14,5.06 - 5.23,0.15 - 0.32,5.01,557.25,22736040,8,0.844,5
@_,DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,0.86,42.94 - 45.69,44.01 - 46.51,1.08 - 3.57,46.10,578.58,9382410,7,1.7,7
@_,CMS,CMS Energy Corporation,Utilities,Utilities Regulated Electric,3.00,72.47 - 72.48,73.39 - 73.53,0.92 - 1.06,72.76,133.96,2448920,6,0.348,2
*_,GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,1.00,32.17 - 33.89,32.93 - 34.37,0.76 - 2.19,32.61,408.07,2580960,6,1.494,5
@_,IOT,Samsara Inc.,Technology,Software Infrastructure,0.60,32.16 - 32.40,32.88 - 33.63,0.72 - 1.47,32.82,545.88,4581480,6,1.62,5
@_,PBA,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,1.00,35.66 - 37.33,36.14 - 37.79,0.48 - 2.13,37.83,362.33,1357870,6,0.896,5
*_,TPG,TPG Inc.,Financial Services,Asset Management,0.00,62.50 - 64.05,63.45 - 65.00,0.95 - 2.50,60.09,271.00,2126140,6,1.545,4
@_,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,0.33,33.18 - 33.53,33.69 - 33.97,0.51 - 0.79,33.88,402.81,6472720,7,1.109,6
@_,CFG,Citizens Financial Group  Inc.,Financial Services,Banks Regional,1.33,47.75 - 48.26,48.85 - 49.04,1.10 - 1.29,48.47,272.18,3489320,6,1.118,3
*_,AFRM,Affirm Holdings  Inc.,Technology,Software Infrastructure,0.29,75.25 - 78.59,76.19 - 79.61,0.94 - 4.36,74.49,520.85,5139010,7,3.631,7
@_,SSNC,SS&C Technologies Holdings  Inc.,Technology,Software Application,2.67,85.72 - 87.74,88.06 - 88.65,2.34 - 2.93,88.71,250.54,1173920,6,1.251,3
@_,LDOS,Leidos Holdings  Inc.,Technology,Information Technology Services,0.50,176.53 - 180.00,180.86 - 182.73,4.33 - 6.20,180.36,194.95,780930,5,0.661,2
@_,ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,1.20,438.56 - 462.31,460.48 - 475.39,21.92 - 36.83,459.35,743.16,150500,3,-0.321,5
*_,NTAP,NetApp  Inc.,Technology,Software Infrastructure,1.50,107.00 - 108.82,108.48 - 110.04,1.48 - 3.04,107.75,226.48,1643960,6,1.438,4
@_,KEY,KeyCorp,Financial Services,Banks Regional,0.00,17.61 - 17.98,17.83 - 18.25,0.22 - 0.63,18.14,291.06,22719230,8,1.112,4
@_,RPRX,Royalty Pharma plc,Healthcare,Biotechnology,0.20,35.84 - 36.01,36.21 - 36.51,0.37 - 0.67,36.31,349.82,3193680,6,0.543,5
@_,SMMT,Summit Therapeutics Inc.,Healthcare,Biotechnology,0.00,24.40 - 26.15,27.20 - 27.24,2.80 - 2.84,26.00,989.49,3232500,6,-1.06,3
*_,AS,UNKNOWN,Consumer Cyclical,Leisure,0.14,37.20 - 38.67,38.04 - 39.12,0.84 - 1.92,37.21,460.56,5567620,7,UNKNOWN,7
*_,ASTS,AST SpaceMobile  Inc.,Technology,Communication Equipment,0.29,47.83 - 49.96,48.42 - 51.59,0.59 - 3.76,45.00,676.64,9323730,7,2.325,7
*_,GPN,Global Payments Inc.,Industrials,Specialty Business Services,0.00,82.27 - 87.14,83.56 - 88.47,1.29 - 6.21,85.71,491.77,2638650,6,0.939,6
@_,PODD,Insulet Corporation,Healthcare,Medical Devices,0.38,306.88 - 328.14,311.66 - 331.84,4.78 - 24.96,327.91,607.43,680330,5,1.348,8
*_,RBA,RB Global  Inc.,Industrials,Specialty Business Services,0.00,115.08 - 116.69,116.48 - 117.94,1.40 - 2.86,115.70,171.61,1217000,6,0.74,3
*_,TWLO,Twilio Inc.,Technology,Software Infrastructure,0.17,95.50 - 105.32,97.21 - 106.70,1.72 - 11.20,100.99,766.01,8911400,7,1.239,6
*_,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,0.00,82.08 - 83.50,83.13 - 84.50,1.05 - 2.42,80.28,177.20,1661880,6,1.698,3
@_,TS,Tenaris S.A.,Energy,Oil & Gas Equipment & Services,1.00,35.61 - 35.66,36.03 - 36.04,0.42 - 0.43,35.88,221.20,984600,5,1.176,4
*_,ALAB,Astera Labs  Inc.,Technology,Semiconductors,0.00,183.80 - 192.63,187.67 - 198.26,3.87 - 14.46,177.53,549.91,5310530,7,UNKNOWN,6
*_,WST,West Pharmaceutical Services  Inc.,Healthcare,Medical Instruments & Supplies,0.50,238.37 - 247.01,241.90 - 250.18,3.53 - 11.81,242.66,399.20,496200,4,1.049,6
@_,NMR,Nomura Holdings  Inc.,Financial Services,Capital Markets,2.00,7.18 - 7.18,7.43 - 7.43,0.25 - 0.25,7.20,174.00,516130,5,0.565,1
*_,NTNX,Nutanix  Inc.,Technology,Software Infrastructure,1.50,68.20 - 68.85,69.17 - 69.59,0.97 - 1.39,67.95,279.40,2572730,6,0.707,4
*_,FIX,Comfort Systems USA  Inc.,Industrials,Engineering & Construction,0.00,695.00 - 712.38,703.38 - 731.96,8.38 - 36.96,693.59,306.04,388120,4,1.491,4
*_,EIX,Edison International,Utilities,Utilities Regulated Electric,1.25,55.56 - 56.30,56.28 - 57.03,0.72 - 1.47,53.81,291.19,2753500,6,0.757,4
@_,AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,1.20,111.59 - 115.39,112.87 - 118.10,1.28 - 6.51,118.03,333.10,1472980,6,1.441,5
@_,INVH,Invitation Homes Inc.,Real Estate,REIT Residential,0.50,29.77 - 30.33,30.44 - 30.95,0.67 - 1.18,30.58,360.70,3612510,6,0.779,4
@_,NI,NiSource Inc.,Utilities,Utilities Regulated Gas,1.00,41.63 - 41.63,42.61 - 42.69,0.98 - 1.06,42.30,244.80,3269800,6,0.535,2
@_,INSM,Insmed Incorporated,Healthcare,Biotechnology,0.38,113.48 - 130.90,119.11 - 132.27,5.63 - 18.79,132.60,1034.87,3647990,6,0.946,13
*_,CASY,Casey's General Stores  Inc.,Consumer Cyclical,Specialty Retail,0.00,512.25 - 514.05,519.89 - 522.23,7.64 - 9.98,510.00,142.38,208570,4,0.688,2
@_,LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,0.36,48.62 - 54.97,50.18 - 55.58,1.56 - 6.97,55.49,938.13,4242490,6,0.867,11
@_,KGC,Kinross Gold Corporation,Basic Materials,Gold,2.00,18.88 - 18.93,19.46 - 19.51,0.58 - 0.64,19.51,306.24,17886660,8,0.668,2
@_,BIIB,Biogen Inc.,Healthcare,Drug Manufacturers General,0.43,128.29 - 137.26,130.01 - 141.10,1.72 - 12.81,139.15,538.37,1351030,6,0.133,7
@_,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,0.75,62.98 - 65.71,63.69 - 66.64,0.71 - 3.66,66.12,482.07,2427830,6,1.055,8
*_,FSLR,First Solar  Inc.,Technology,Solar,0.27,183.29 - 218.29,185.39 - 221.29,2.10 - 38.01,191.98,1238.82,4378170,6,1.48,15
@_,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,0.67,20.58 - 21.32,20.86 - 21.56,0.29 - 0.98,21.27,435.52,9167560,7,1.128,6
*_,NTRA,Natera  Inc.,Healthcare,Diagnostics & Research,0.50,156.46 - 162.99,158.17 - 165.07,1.71 - 8.61,161.96,467.02,1589490,6,1.756,6
@_,CRBG,Corebridge Financial  Inc.,Financial Services,Asset Management,0.00,33.55 - 34.04,34.19 - 34.51,0.64 - 0.96,34.07,163.98,5048570,7,0.956,2
*_,TSN,Tyson Foods  Inc.,Consumer Defensive,Farm Products,1.25,56.21 - 57.06,56.94 - 57.71,0.73 - 1.50,56.97,264.23,2355030,6,0.571,4
*_,Z,Zillow Group  Inc.,Communication Services,Internet Content & Information,0.00,79.90 - 84.74,80.71 - 85.66,0.81 - 5.76,81.42,571.03,2858580,6,2.076,9
@_,DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,1.50,176.81 - 182.02,179.31 - 184.75,2.50 - 7.94,183.61,270.75,807650,5,0.459,4
*_,MDB,MongoDB  Inc.,Technology,Software Infrastructure,0.21,201.00 - 228.03,203.38 - 230.47,2.38 - 29.47,211.89,949.32,2471640,6,1.443,14
*_,TRU,TransUnion,Financial Services,Financial Data & Stock Exchanges,0.00,86.12 - 91.19,87.21 - 92.19,1.09 - 6.07,86.63,416.20,1947120,6,1.652,6
@_,MKC,McCormick & Company  Incorporated,Consumer Defensive,Packaged Foods,0.00,68.74 - 68.75,69.45 - 70.55,0.71 - 1.81,71.07,307.44,2388190,6,0.66,3
@_,ZBH,Zimmer Biomet Holdings  Inc.,Healthcare,Medical Devices,0.83,100.36 - 104.26,101.42 - 106.13,1.06 - 5.77,104.46,386.07,1563330,6,0.676,6
@_,ESS,Essex Property Trust  Inc.,Real Estate,REIT Residential,0.67,251.87 - 260.02,255.13 - 266.32,3.26 - 14.45,262.75,458.28,446470,4,0.81,6
@_,L,Loews Corporation,Financial Services,Insurance Property & Casualty,2.00,93.89 - 95.40,94.99 - 96.92,1.10 - 3.03,96.40,204.94,728420,5,0.694,3
*_,BNT,Brookfield Wealth Solutions Ltd.,Financial Services,Insurance Diversified,0.50,65.29 - 65.56,65.95 - 66.22,0.66 - 0.94,64.12,100.32,8870,1,1.763,2
*_,ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,0.25,360.39 - 365.87,365.28 - 371.04,4.89 - 10.65,359.52,246.22,140750,3,0.319,4
@_,LUV,Southwest Airlines Co.,Industrials,Airlines,0.00,29.83 - 30.64,30.38 - 31.44,0.55 - 1.61,31.07,467.02,7236800,7,1.251,5
*_,GEN,Gen Digital Inc.,Technology,Software Infrastructure,0.00,30.83 - 31.58,31.31 - 32.16,0.48 - 1.33,31.18,254.20,4558140,6,0.995,3
*_,USFD,US Foods Holding Corp.,Consumer Defensive,Food Distribution,3.00,77.68 - 77.76,78.82 - 79.15,1.14 - 1.47,77.38,161.92,2501800,6,1.437,2
@_,RCI,Rogers Communications Inc.,Communication Services,Telecom Services,1.00,34.20 - 35.10,34.60 - 35.72,0.40 - 1.52,35.61,255.92,852020,5,0.875,4
*_,CLS,Celestica Inc.,Technology,Electronic Components,0.00,207.80 - 212.27,210.55 - 217.26,2.74 - 9.45,181.34,282.43,2968710,6,1.679,4
*_,CYBR,CyberArk Software Ltd.,Technology,Software Infrastructure,1.20,412.19 - 438.54,416.83 - 447.92,4.64 - 35.73,435.21,532.02,1473410,6,0.957,5
*_,GWRE,Guidewire Software  Inc.,Technology,Software Application,0.57,206.46 - 214.32,208.62 - 216.88,2.15 - 10.42,213.21,402.23,611470,5,1.162,7
@_,BAP,Credicorp Ltd.,Financial Services,Banks Regional,1.00,248.79 - 251.50,253.76 - 254.50,4.97 - 5.71,251.08,268.16,432650,4,1.061,4
*_,STLD,Steel Dynamics  Inc.,Basic Materials,Steel,0.00,123.68 - 127.71,125.86 - 130.42,2.18 - 6.74,125.69,415.19,1337780,6,1.391,4
@_,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers Specialty & Generic,0.45,16.32 - 18.43,16.58 - 18.69,0.26 - 2.37,18.81,929.46,10974170,8,0.624,11
*_,ZG,Zillow Group  Inc.,Communication Services,Internet Content & Information,0.00,76.59 - 80.96,77.68 - 81.96,1.09 - 5.38,77.91,510.12,483660,4,2.076,8
*_,WY,Weyerhaeuser Company,Real Estate,REIT Specialty,1.20,25.34 - 26.07,25.71 - 26.44,0.37 - 1.10,25.77,357.88,3524940,6,1.088,5
*_,PSTG,Pure Storage  Inc.,Technology,Computer Hardware,0.00,58.24 - 59.22,59.17 - 60.17,0.93 - 1.93,55.75,231.09,1914590,6,1.072,3
*_,UMC,United Microelectronics Corporation,Technology,Semiconductors,0.50,6.75 - 6.79,6.86 - 6.89,0.11 - 0.14,6.74,280.12,7590120,7,1.027,4
*_,FLEX,Flex Ltd.,Technology,Electronic Components,0.00,50.74 - 51.30,51.43 - 52.35,0.69 - 1.61,49.41,169.47,3414820,6,1.045,2
*_,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,0.00,367.12 - 394.29,371.93 - 399.33,4.81 - 32.21,381.46,471.22,423940,4,1.049,8
@_,GPC,Genuine Parts Company,Consumer Cyclical,Auto Parts,2.00,133.71 - 137.40,138.35 - 138.84,4.64 - 5.13,136.32,310.75,903980,5,0.756,3
*_,PKX,POSCO Holdings Inc.,Basic Materials,Steel,0.50,54.60 - 55.55,55.66 - 56.40,1.06 - 1.80,54.40,172.96,94670,3,1.527,2
@_,BSY,Bentley Systems  Incorporated,Technology,Software Application,1.33,51.92 - 53.06,52.85 - 53.71,0.93 - 1.79,53.41,214.04,1507370,6,1.099,3
@_,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,1.00,195.78 - 207.31,198.16 - 210.95,2.38 - 15.16,210.41,622.58,748580,5,0.871,7
*_,WSO,Watsco  Inc.,Industrials,Industrial Distribution,0.00,410.00 - 427.58,417.05 - 432.57,7.05 - 22.57,405.59,306.12,282510,4,0.947,5
@_,KOF,Coca-Cola FEMSA  S.A.B. de C.V.,Consumer Defensive,Beverages Non-Alcoholic,0.80,83.00 - 84.45,83.92 - 85.32,0.92 - 2.32,85.52,266.68,148560,3,0.631,5
*_,MAA,Mid-America Apartment Communities  Inc.,Real Estate,REIT Residential,1.25,137.93 - 141.00,139.54 - 144.55,1.61 - 6.62,140.97,306.54,855370,5,0.747,4
@_,XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,1.67,19.47 - 20.54,20.86 - 23.23,1.40 - 3.76,22.74,1152.33,12120610,8,2.499,3
@_,BEP,Brookfield Renewable Partners L.P.,Utilities,Utilities Renewable,3.00,24.17 - 24.17,25.20 - 25.20,1.03 - 1.03,24.79,212.18,574420,5,0.999,1
*_,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,0.00,23.85 - 24.10,24.11 - 24.39,0.26 - 0.53,23.43,277.41,5659370,7,0.306,4
*_,CW,Curtiss-Wright Corporation,Industrials,Aerospace & Defense,0.00,486.98 - 498.86,494.05 - 508.98,7.07 - 22.00,484.72,302.80,315260,4,1.179,4
@_,PFG,Principal Financial Group  Inc.,Financial Services,Asset Management,0.67,77.02 - 77.55,78.24 - 79.08,1.22 - 2.06,78.67,229.12,1172460,6,0.996,3
@_,YUMC,Yum China Holdings  Inc.,Consumer Cyclical,Restaurants,2.33,44.48 - 45.04,45.15 - 45.59,0.67 - 1.11,45.10,218.97,1815230,6,0.261,3
*_,IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,1.25,118.34 - 121.21,120.13 - 122.94,1.79 - 4.60,119.94,252.71,218150,4,0.88,4
*_,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,0.00,287.76 - 298.39,291.24 - 303.60,3.48 - 15.84,285.60,337.51,672320,5,1.543,5
@_,VIV,Telefônica Brasil S.A.,Communication Services,Telecom Services,1.67,12.25 - 12.27,12.44 - 12.51,0.19 - 0.26,12.44,248.46,965560,5,0.365,3
@_,EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,0.80,8.52 - 8.86,8.75 - 9.07,0.23 - 0.55,8.90,475.85,2245860,6,0.345,5
@_,KEP,Korea Electric Power Corporation,Utilities,Utilities Regulated Electric,2.33,13.27 - 14.02,13.88 - 14.19,0.61 - 0.92,13.87,340.56,685440,5,0.87,3
*_,WAT,Waters Corporation,Healthcare,Diagnostics & Research,0.57,279.95 - 293.36,283.25 - 297.64,3.30 - 17.69,290.45,437.92,618240,5,1.046,7
@_,BSBR,Banco Santander (Brasil) S.A.,Financial Services,Banks Regional,1.00,4.80 - 4.97,5.02 - 5.07,0.22 - 0.27,5.03,490.66,682570,5,0.398,4
@_,DOW,Dow Inc.,Basic Materials,Chemicals,0.56,21.76 - 24.13,22.50 - 25.17,0.74 - 3.41,25.09,972.83,12987000,8,0.856,9
@_,GFL,GFL Environmental Inc.,Industrials,Waste Management,1.75,49.99 - 50.65,50.51 - 51.27,0.51 - 1.28,51.03,227.60,1191230,6,0.961,4
@_,NWS,News Corporation,Communication Services,Entertainment,0.75,33.49 - 34.47,34.21 - 34.92,0.72 - 1.43,35.17,324.18,836500,5,1.24,4
*_,CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,0.20,102.85 - 117.67,104.18 - 121.51,1.33 - 18.66,114.07,1018.28,3787130,6,2.589,10
@_,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,0.83,47.59 - 47.96,48.15 - 48.69,0.56 - 1.10,49.31,415.06,4771850,6,1.065,6
@_,FFIV,F5  Inc.,Technology,Software Infrastructure,2.50,315.50 - 315.80,318.86 - 321.53,3.36 - 6.03,317.13,136.35,411380,4,1.033,2
*_,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,0.00,20.17 - 20.34,20.45 - 20.92,0.28 - 0.75,19.93,211.26,1095940,6,0.216,2
*_,BURL,Burlington Stores  Inc.,Consumer Cyclical,Apparel Retail,1.75,278.58 - 283.12,281.77 - 287.33,3.20 - 8.75,280.78,278.12,893930,5,1.692,4
@_,SNA,Snap-on Incorporated,Industrials,Tools & Accessories,3.00,325.04 - 327.01,331.84 - 333.76,6.80 - 8.72,332.83,203.25,232220,4,0.743,2
@_,TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,2.00,31.80 - 31.82,32.57 - 33.91,0.77 - 2.11,33.61,449.02,2963900,6,1.383,2
@_,OKTA,Okta  Inc.,Technology,Software Infrastructure,0.25,88.44 - 89.43,90.45 - 91.90,2.00 - 3.46,92.00,526.59,2831930,6,0.798,4
*_,J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,3.00,147.76 - 150.24,149.68 - 152.17,1.92 - 4.41,148.46,127.05,574770,5,0.777,2
@_,ILMN,Illumina  Inc.,Healthcare,Diagnostics & Research,1.40,98.97 - 101.59,100.42 - 103.24,1.45 - 4.27,101.80,335.11,1378370,6,1.372,5
@_,DKS,DICK'S Sporting Goods  Inc.,Consumer Cyclical,Specialty Retail,1.25,221.94 - 222.42,224.58 - 227.92,2.64 - 5.98,227.52,359.70,1305250,6,1.095,4
